epoch,batch,loss,acc,lr
1,14,0.69039,56.25,0.042129
2,14,0.71202,12.50,0.023483
3,14,0.71412,12.50,0.005826
4,14,0.71410,18.75,0.000297
5,14,0.70878,18.75,0.010385
6,14,0.69838,43.75,0.029725
7,14,0.71270,18.75,0.046116
8,14,0.62013,87.50,0.049216
9,14,0.72351,31.25,0.037070
10,14,0.67568,68.75,0.017340
11,14,0.65666,81.25,0.002475
12,14,0.65877,81.25,0.001852
13,14,0.70776,25.00,0.015865
14,14,0.62612,87.50,0.035673
15,14,0.83306,18.75,0.048779
16,14,0.66756,68.75,0.046914
17,14,0.71477,43.75,0.031255
18,14,0.67496,62.50,0.011681
19,14,0.67250,62.50,0.000542
20,14,0.68118,62.50,0.004865
21,14,0.70253,56.25,0.021923
22,14,0.74489,31.25,0.040954
23,14,0.61236,68.75,0.049951
24,14,0.66230,62.50,0.043238
25,14,0.67127,62.50,0.025050
26,14,0.65581,62.50,0.006862
27,14,0.65069,62.50,0.000149
28,14,0.64466,62.50,0.009146
29,14,0.71779,56.25,0.028177
30,14,0.61700,68.75,0.045235
31,14,0.65462,68.75,0.049558
32,14,0.65490,68.75,0.038419
33,14,0.64373,68.75,0.018845
34,14,0.63860,68.75,0.003186
35,14,0.63964,68.75,0.001321
36,14,0.61901,68.75,0.014427
37,14,0.65679,68.75,0.034235
38,14,0.59218,68.75,0.048248
39,14,0.61986,68.75,0.047625
40,14,0.60150,68.75,0.032760
41,14,0.57883,68.75,0.013030
42,14,0.60590,68.75,0.000884
43,14,0.60619,68.75,0.003984
44,14,0.57877,68.75,0.020375
45,14,0.58171,68.75,0.039715
46,14,0.56867,68.75,0.049803
47,14,0.57247,68.75,0.044274
48,14,0.60882,68.75,0.026617
49,14,0.59641,68.75,0.007971
50,14,0.60586,68.75,0.000100
51,14,0.59840,68.75,0.007971
52,14,0.57943,68.75,0.026617
53,14,0.59061,68.75,0.044274
54,14,0.54791,75.00,0.049803
55,14,0.58342,75.00,0.039715
56,14,0.64812,68.75,0.020375
57,14,0.60996,68.75,0.003984
58,14,0.60615,68.75,0.000884
59,14,0.61495,68.75,0.013030
60,14,0.60426,75.00,0.032760
61,14,0.61631,68.75,0.047625
62,14,0.53969,75.00,0.048248
63,14,0.63289,75.00,0.034235
64,14,0.61563,75.00,0.014427
65,14,0.62531,75.00,0.001321
66,14,0.62303,75.00,0.003186
67,14,0.60344,75.00,0.018845
68,14,0.59558,75.00,0.038419
69,14,0.57389,75.00,0.049558
70,14,0.55828,81.25,0.045235
71,14,0.57351,75.00,0.028177
72,14,0.55736,75.00,0.009146
73,14,0.55582,75.00,0.000149
74,14,0.56098,75.00,0.006862
75,14,0.57728,75.00,0.025050
76,14,0.54863,75.00,0.043238
77,14,0.53181,81.25,0.049951
78,14,0.59440,75.00,0.040954
79,14,0.59726,75.00,0.021923
80,14,0.57983,75.00,0.004865
81,14,0.58669,75.00,0.000542
82,14,0.57235,75.00,0.011681
83,14,0.55578,75.00,0.031255
84,14,0.63731,68.75,0.046914
85,14,0.59745,75.00,0.048779
86,14,0.54940,75.00,0.035673
87,14,0.55611,75.00,0.015865
88,14,0.54727,81.25,0.001852
