epoch,batch,loss,acc,lr
1,9,0.72097,12.50,0.065796
2,9,0.72010,12.50,0.010454
3,9,0.71925,12.50,0.010454
4,9,0.70718,31.25,0.065796
5,9,0.67803,68.75,0.100000
6,9,0.68236,68.75,0.065796
7,9,0.69108,56.25,0.010454
8,9,0.69156,56.25,0.010454
9,9,0.68496,62.50,0.065796
10,9,0.66534,81.25,0.100000
11,9,0.68550,62.50,0.065796
12,9,0.69199,56.25,0.010454
13,9,0.69228,56.25,0.010454
14,9,0.68246,68.75,0.065796
15,9,0.67905,68.75,0.100000
16,9,0.69583,56.25,0.065796
17,9,0.70263,37.50,0.010454
18,9,0.70293,37.50,0.010454
19,9,0.69856,56.25,0.065796
20,9,0.67854,68.75,0.100000
21,9,0.67837,68.75,0.065796
22,9,0.68580,68.75,0.010454
23,9,0.68618,68.75,0.010454
24,9,0.68328,68.75,0.065796
25,9,0.67224,75.00,0.100000
26,9,0.66692,75.00,0.065796
27,9,0.67590,68.75,0.010454
28,9,0.67698,68.75,0.010454
29,9,0.68022,68.75,0.065796
30,9,0.66274,75.00,0.100000
31,9,0.66847,75.00,0.065796
32,9,0.67598,68.75,0.010454
33,9,0.67549,68.75,0.010454
34,9,0.67547,68.75,0.065796
35,9,0.69117,56.25,0.100000
36,9,0.67972,56.25,0.065796
37,9,0.67225,56.25,0.010454
38,9,0.67162,68.75,0.010454
39,9,0.67228,56.25,0.065796
40,9,0.66679,75.00,0.100000
41,9,0.67365,56.25,0.065796
42,9,0.67670,56.25,0.010454
43,9,0.67697,56.25,0.010454
44,9,0.67853,56.25,0.065796
45,9,0.65865,75.00,0.100000
46,9,0.64745,75.00,0.065796
47,9,0.66088,75.00,0.010454
48,9,0.66118,75.00,0.010454
49,9,0.65816,75.00,0.065796
50,9,0.68587,50.00,0.100000
51,9,0.67912,50.00,0.065796
52,9,0.66509,62.50,0.010454
53,9,0.66527,62.50,0.010454
54,9,0.66938,62.50,0.065796
55,9,0.66748,62.50,0.100000
56,9,0.66903,62.50,0.065796
57,9,0.65957,62.50,0.010454
58,9,0.65863,62.50,0.010454
59,9,0.65227,62.50,0.065796
60,9,0.63399,75.00,0.100000
61,9,0.65315,62.50,0.065796
62,9,0.66836,56.25,0.010454
63,9,0.66968,56.25,0.010454
64,9,0.66537,56.25,0.065796
65,9,0.66049,56.25,0.100000
66,9,0.66425,56.25,0.065796
67,9,0.67625,50.00,0.010454
68,9,0.67696,50.00,0.010454
69,9,0.67754,50.00,0.065796
70,9,0.66240,56.25,0.100000
71,9,0.63344,75.00,0.065796
72,9,0.64083,62.50,0.010454
73,9,0.64392,56.25,0.010454
74,9,0.66285,56.25,0.065796
75,9,0.68381,50.00,0.100000
76,9,0.69912,50.00,0.065796
77,9,0.70136,50.00,0.010454
78,9,0.69925,50.00,0.010454
79,9,0.68443,50.00,0.065796
80,9,0.66731,56.25,0.100000
81,9,0.65645,56.25,0.065796
82,9,0.65446,56.25,0.010454
83,9,0.65543,56.25,0.010454
84,9,0.67583,50.00,0.065796
85,9,0.67701,50.00,0.100000
86,9,0.63961,56.25,0.065796
87,9,0.64918,56.25,0.010454
88,9,0.65071,56.25,0.010454
89,9,0.65355,56.25,0.065796
90,9,0.64669,56.25,0.100000
91,9,0.65600,56.25,0.065796
92,9,0.64561,56.25,0.010454
93,9,0.64465,56.25,0.010454
94,9,0.64035,62.50,0.065796
95,9,0.64960,56.25,0.100000
96,9,0.68168,56.25,0.065796
97,9,0.68491,50.00,0.010454
98,9,0.68410,50.00,0.010454
99,9,0.67190,56.25,0.065796
100,9,0.64885,56.25,0.100000
