epoch,batch,loss,acc,lr
1,16,0.63702,67.09,0.084025
2,16,0.63338,67.09,0.046412
3,16,0.63304,67.09,0.011438
4,16,0.63301,67.09,0.001675
5,16,0.63300,67.09,0.023426
6,16,0.63314,67.09,0.062652
7,16,0.63501,67.09,0.094034
8,16,0.63676,67.09,0.097318
9,16,0.63275,67.09,0.070384
10,16,0.63231,67.09,0.030616
11,16,0.63198,67.09,0.003682
12,16,0.63198,67.09,0.006966
13,16,0.63194,67.09,0.038348
14,16,0.63250,67.09,0.077574
15,16,0.63151,67.09,0.099325
16,16,0.62949,67.09,0.089562
17,16,0.62898,67.09,0.054588
18,16,0.62887,67.09,0.016975
19,16,0.62888,67.09,0.001000
20,16,0.62885,67.09,0.016975
21,16,0.62848,67.09,0.054588
22,16,0.62873,67.09,0.089562
23,16,0.62920,67.09,0.099325
24,16,0.63012,67.09,0.077574
25,16,0.62678,67.09,0.038348
26,16,0.62681,67.09,0.006966
27,16,0.62692,67.09,0.003682
28,16,0.62664,67.09,0.030616
29,16,0.62506,67.09,0.070384
30,16,0.62512,67.09,0.097318
31,16,0.62444,67.09,0.094034
32,16,0.62467,67.09,0.062652
33,16,0.62445,67.09,0.023426
34,16,0.62446,67.09,0.001675
35,16,0.62446,67.09,0.011438
36,16,0.62485,64.56,0.046412
37,16,0.62632,67.09,0.084025
38,16,0.62423,67.09,0.100000
39,16,0.62492,67.09,0.084025
40,16,0.62568,65.82,0.046412
41,16,0.62597,65.82,0.011438
42,16,0.62591,65.82,0.001675
43,16,0.62641,65.82,0.023426
44,16,0.62756,64.56,0.062652
45,16,0.62262,65.82,0.094034
46,16,0.62295,65.82,0.097318
47,16,0.62606,64.56,0.070384
48,16,0.62445,65.82,0.030616
49,16,0.62323,65.82,0.003682
50,16,0.62327,65.82,0.006966
51,16,0.62282,65.82,0.038348
52,16,0.62138,65.82,0.077574
53,16,0.62842,64.56,0.099325
54,16,0.63055,64.56,0.089562
55,16,0.62691,65.82,0.054588
56,16,0.62643,65.82,0.016975
57,16,0.62686,65.82,0.001000
58,16,0.62724,65.82,0.016975
59,16,0.62903,64.56,0.054588
60,16,0.62865,65.82,0.089562
61,16,0.62517,67.09,0.099325
62,16,0.62639,67.09,0.077574
63,16,0.62895,67.09,0.038348
64,16,0.63032,67.09,0.006966
65,16,0.63044,67.09,0.003682
66,16,0.63113,67.09,0.030616
67,16,0.63443,64.56,0.070384
68,16,0.63274,64.56,0.097318
69,16,0.63203,64.56,0.094034
70,16,0.63239,64.56,0.062652
71,16,0.63019,65.82,0.023426
72,16,0.62935,67.09,0.001675
73,16,0.62929,67.09,0.011438
74,16,0.62784,67.09,0.046412
75,16,0.62867,65.82,0.084025
76,16,0.62561,67.09,0.100000
77,16,0.62805,67.09,0.084025
78,16,0.63522,67.09,0.046412
79,16,0.64046,62.03,0.011438
80,16,0.64055,62.03,0.001675
81,16,0.63907,62.03,0.023426
82,16,0.63127,67.09,0.062652
83,16,0.62965,67.09,0.094034
84,16,0.64043,65.82,0.097318
85,16,0.63059,65.82,0.070384
86,16,0.63155,63.29,0.030616
87,16,0.63372,63.29,0.003682
88,16,0.63328,63.29,0.006966
89,16,0.63248,63.29,0.038348
90,16,0.63241,65.82,0.077574
91,16,0.63320,65.82,0.099325
92,16,0.63299,65.82,0.089562
93,16,0.63906,65.82,0.054588
94,16,0.63057,67.09,0.016975
95,16,0.62644,68.35,0.001000
96,16,0.62549,68.35,0.016975
97,16,0.62562,68.35,0.054588
98,16,0.62302,68.35,0.089562
99,16,0.61742,70.89,0.099325
100,16,0.62145,67.09,0.077574
101,16,0.62027,68.35,0.038348
102,16,0.61914,69.62,0.006966
103,16,0.61935,67.09,0.003682
104,16,0.61993,67.09,0.030616
105,16,0.62413,67.09,0.070384
106,16,0.62307,68.35,0.097318
107,16,0.61731,70.89,0.094034
108,16,0.62254,68.35,0.062652
109,16,0.61976,70.89,0.023426
110,16,0.62063,70.89,0.001675
111,16,0.62096,70.89,0.011438
112,16,0.62263,69.62,0.046412
113,16,0.62299,65.82,0.084025
114,16,0.62489,67.09,0.100000
115,16,0.62792,63.29,0.084025
116,16,0.62042,68.35,0.046412
117,16,0.62137,65.82,0.011438
118,16,0.62174,65.82,0.001675
119,16,0.62219,65.82,0.023426
120,16,0.62473,67.09,0.062652
121,16,0.62611,65.82,0.094034
122,16,0.61875,67.09,0.097318
123,16,0.61709,68.35,0.070384
124,16,0.61863,68.35,0.030616
125,16,0.61785,65.82,0.003682
126,16,0.61834,65.82,0.006966
127,16,0.61830,65.82,0.038348
128,16,0.61877,65.82,0.077574
129,16,0.61856,67.09,0.099325
130,16,0.63201,63.29,0.089562
131,16,0.63481,62.03,0.054588
132,16,0.62998,65.82,0.016975
133,16,0.62846,65.82,0.001000
134,16,0.62861,65.82,0.016975
135,16,0.63044,63.29,0.054588
136,16,0.62838,65.82,0.089562
