epoch,batch,loss,acc,lr
1,3,0.67723,87.50,0.099729
2,3,0.65331,87.50,0.098918
3,3,0.62643,87.50,0.097577
4,3,0.59899,87.50,0.095721
5,3,0.57547,87.50,0.093368
6,3,0.55686,87.50,0.090546
7,3,0.54348,87.50,0.087286
8,3,0.53213,87.50,0.083622
9,3,0.52266,87.50,0.079595
10,3,0.51551,87.50,0.075250
11,3,0.51002,87.50,0.070633
12,3,0.50562,87.50,0.065796
13,3,0.50278,87.50,0.060792
14,3,0.50058,87.50,0.055674
15,3,0.49888,87.50,0.050500
16,3,0.49762,87.50,0.045326
17,3,0.49707,87.50,0.040208
18,3,0.49731,87.50,0.035204
19,3,0.49762,87.50,0.030367
20,3,0.49801,87.50,0.025750
21,3,0.49847,87.50,0.021405
22,3,0.49884,87.50,0.017378
23,3,0.49910,87.50,0.013714
24,3,0.49934,87.50,0.010454
25,3,0.49951,87.50,0.007632
26,3,0.49971,87.50,0.005279
27,3,0.49980,87.50,0.003423
28,3,0.49988,87.50,0.002082
29,3,0.49992,87.50,0.001271
30,3,0.49994,87.50,0.001000
31,3,0.49994,87.50,0.001271
32,3,0.49995,87.50,0.002082
33,3,0.49995,87.50,0.003423
34,3,0.49997,87.50,0.005279
35,3,0.50004,87.50,0.007632
36,3,0.50015,87.50,0.010454
37,3,0.50035,87.50,0.013714
38,3,0.50079,87.50,0.017378
39,3,0.50132,87.50,0.021405
40,3,0.50199,87.50,0.025750
41,3,0.50246,87.50,0.030367
42,3,0.50285,87.50,0.035204
43,3,0.50354,87.50,0.040208
44,3,0.50449,87.50,0.045326
45,3,0.50581,87.50,0.050500
46,3,0.50678,87.50,0.055674
47,3,0.50784,87.50,0.060792
48,3,0.50934,87.50,0.065796
49,3,0.51104,87.50,0.070633
50,3,0.51292,87.50,0.075250
51,3,0.51573,87.50,0.079595
52,3,0.51791,87.50,0.083622
53,3,0.51808,87.50,0.087286
54,3,0.51772,87.50,0.090546
55,3,0.51678,87.50,0.093368
56,3,0.51657,87.50,0.095721
57,3,0.51659,87.50,0.097577
58,3,0.51737,87.50,0.098918
59,3,0.51748,87.50,0.099729
60,3,0.51684,87.50,0.100000
61,3,0.51536,87.50,0.099729
62,3,0.51710,87.50,0.098918
63,3,0.51888,87.50,0.097577
64,3,0.51998,87.50,0.095721
65,3,0.52187,87.50,0.093368
66,3,0.52356,87.50,0.090546
67,3,0.52455,87.50,0.087286
68,3,0.52720,87.50,0.083622
69,3,0.52985,87.50,0.079595
