epoch,batch,loss,acc,lr
1,19,0.68120,57.81,0.000815
2,19,0.65925,57.81,0.000411
3,19,0.65229,60.94,0.000122
4,19,0.64779,62.50,0.000186
5,19,0.63818,68.75,0.000550
6,19,0.62072,71.88,0.000914
7,19,0.60916,71.88,0.000978
8,19,0.59967,68.75,0.000689
9,19,0.56502,73.44,0.000285
10,19,0.55453,78.12,0.000100
11,19,0.55172,78.12,0.000285
12,19,0.55029,75.00,0.000689
13,19,0.54279,75.00,0.000978
14,19,0.53635,76.56,0.000914
15,19,0.53382,76.56,0.000550
16,19,0.51997,79.69,0.000186
17,19,0.51808,79.69,0.000122
18,19,0.51494,82.81,0.000411
19,19,0.50822,82.81,0.000815
20,19,0.49692,84.38,0.001000
21,19,0.48410,85.94,0.000815
22,19,0.49858,81.25,0.000411
23,19,0.49340,85.94,0.000122
24,19,0.49222,84.38,0.000186
25,19,0.48728,85.94,0.000550
26,19,0.48618,84.38,0.000914
27,19,0.48379,84.38,0.000978
28,19,0.49033,84.38,0.000689
29,19,0.48875,84.38,0.000285
30,19,0.48550,82.81,0.000100
31,19,0.48410,84.38,0.000285
32,19,0.48618,82.81,0.000689
33,19,0.48461,84.38,0.000978
34,19,0.47546,84.38,0.000914
35,19,0.46733,87.50,0.000550
36,19,0.46749,87.50,0.000186
37,19,0.46593,87.50,0.000122
38,19,0.46642,87.50,0.000411
39,19,0.46110,87.50,0.000815
40,19,0.46629,87.50,0.001000
41,19,0.46420,85.94,0.000815
42,19,0.46719,85.94,0.000411
43,19,0.46140,87.50,0.000122
44,19,0.46115,87.50,0.000186
45,19,0.45850,87.50,0.000550
46,19,0.46040,85.94,0.000914
47,19,0.46591,85.94,0.000978
48,19,0.46888,84.38,0.000689
49,19,0.47325,84.38,0.000285
50,19,0.47455,84.38,0.000100
51,19,0.47053,84.38,0.000285
52,19,0.46296,85.94,0.000689
53,19,0.45972,85.94,0.000978
54,19,0.46781,84.38,0.000914
55,19,0.46689,84.38,0.000550
56,19,0.46040,84.38,0.000186
57,19,0.45785,84.38,0.000122
58,19,0.45767,84.38,0.000411
59,19,0.45810,84.38,0.000815
60,19,0.47668,84.38,0.001000
61,19,0.47953,82.81,0.000815
62,19,0.48358,81.25,0.000411
63,19,0.47426,82.81,0.000122
64,19,0.47136,82.81,0.000186
65,19,0.46743,84.38,0.000550
66,19,0.46609,84.38,0.000914
67,19,0.46663,85.94,0.000978
68,19,0.47362,84.38,0.000689
69,19,0.47943,82.81,0.000285
70,19,0.47779,82.81,0.000100
71,19,0.47552,82.81,0.000285
72,19,0.47310,82.81,0.000689
73,19,0.46003,87.50,0.000978
74,19,0.46290,85.94,0.000914
75,19,0.46546,84.38,0.000550
76,19,0.45662,85.94,0.000186
77,19,0.45766,85.94,0.000122
78,19,0.45611,84.38,0.000411
79,19,0.45334,85.94,0.000815
80,19,0.45340,85.94,0.001000
81,19,0.44913,87.50,0.000815
82,19,0.44023,89.06,0.000411
83,19,0.44208,87.50,0.000122
84,19,0.44253,87.50,0.000186
85,19,0.44405,87.50,0.000550
86,19,0.43536,89.06,0.000914
87,19,0.43885,87.50,0.000978
