epoch,batch,loss,acc,lr
1,26,0.63968,87.50,0.031508
2,26,0.66429,87.50,0.003443
3,26,0.67481,87.50,0.007408
4,26,0.70141,31.25,0.037525
5,26,0.69774,31.25,0.049150
6,26,0.66604,62.50,0.025050
7,26,0.62342,75.00,0.000950
8,26,0.63357,75.00,0.012575
9,26,0.68452,50.00,0.042692
10,26,0.82802,18.75,0.046657
11,26,0.60052,75.00,0.018592
12,26,0.59281,87.50,0.000100
13,26,0.57929,81.25,0.018592
14,26,0.68579,50.00,0.046657
15,26,0.68292,56.25,0.042692
16,26,0.52844,87.50,0.012575
17,26,0.54651,87.50,0.000950
18,26,0.59499,75.00,0.025050
19,26,0.66352,56.25,0.049150
20,26,0.58120,68.75,0.037525
21,26,0.60804,62.50,0.007408
22,26,0.58748,75.00,0.003443
23,26,0.61371,56.25,0.031508
24,26,0.59795,62.50,0.050000
25,26,0.59867,62.50,0.031508
26,26,0.58213,68.75,0.003443
27,26,0.56950,75.00,0.007408
28,26,0.61094,62.50,0.037525
29,26,0.60158,62.50,0.049150
30,26,0.61815,62.50,0.025050
31,26,0.68119,50.00,0.000950
32,26,0.65653,50.00,0.012575
33,26,0.67511,56.25,0.042692
34,26,0.59034,68.75,0.046657
35,26,0.62329,62.50,0.018592
36,26,0.62754,56.25,0.000100
37,26,0.65701,56.25,0.018592
38,26,0.68323,50.00,0.046657
39,26,0.78697,43.75,0.042692
40,26,0.71556,56.25,0.012575
41,26,0.71865,56.25,0.000950
42,26,0.71967,56.25,0.025050
43,26,0.62127,62.50,0.049150
44,26,0.72021,43.75,0.037525
45,26,0.65714,56.25,0.007408
46,26,0.66662,50.00,0.003443
47,26,0.64602,56.25,0.031508
48,26,0.70272,50.00,0.050000
49,26,0.69144,50.00,0.031508
50,26,0.73704,43.75,0.003443
51,26,0.72905,43.75,0.007408
52,26,0.71965,50.00,0.037525
53,26,0.68853,56.25,0.049150
54,26,0.72321,50.00,0.025050
55,26,0.70436,50.00,0.000950
56,26,0.73988,50.00,0.012575
57,26,0.78221,43.75,0.042692
58,26,0.75058,43.75,0.046657
59,26,0.75310,50.00,0.018592
60,26,0.74842,50.00,0.000100
61,26,0.78115,43.75,0.018592
62,26,0.72385,43.75,0.046657
63,26,0.75339,50.00,0.042692
64,26,0.72758,56.25,0.012575
65,26,0.72906,50.00,0.000950
66,26,0.68648,56.25,0.025050
67,26,0.80812,43.75,0.049150
68,26,0.74516,50.00,0.037525
69,26,0.79957,50.00,0.007408
70,26,0.78554,50.00,0.003443
71,26,0.72692,50.00,0.031508
72,26,0.72059,62.50,0.050000
73,26,0.88473,37.50,0.031508
74,26,0.79477,43.75,0.003443
75,26,0.80575,43.75,0.007408
76,26,0.71612,56.25,0.037525
77,26,0.73202,50.00,0.049150
78,26,0.85345,43.75,0.025050
79,26,0.77879,43.75,0.000950
80,26,0.81546,43.75,0.012575
81,26,0.81767,43.75,0.042692
82,26,0.75597,50.00,0.046657
83,26,0.77756,50.00,0.018592
84,26,0.75025,50.00,0.000100
85,26,0.79094,50.00,0.018592
86,26,0.78627,50.00,0.046657
87,26,0.83952,43.75,0.042692
88,26,0.85940,43.75,0.012575
89,26,0.84872,43.75,0.000950
90,26,0.80961,43.75,0.025050
91,26,0.73419,56.25,0.049150
92,26,0.78419,43.75,0.037525
93,26,0.77459,43.75,0.007408
94,26,0.76726,43.75,0.003443
95,26,0.81177,43.75,0.031508
96,26,0.84902,43.75,0.050000
97,26,0.85021,43.75,0.031508
98,26,0.81007,43.75,0.003443
99,26,0.78621,43.75,0.007408
100,26,0.80635,43.75,0.037525
101,26,0.75090,50.00,0.049150
102,26,0.78881,43.75,0.025050
103,26,0.81180,43.75,0.000950
104,26,0.79889,43.75,0.012575
105,26,0.76219,43.75,0.042692
106,26,0.71585,56.25,0.046657
107,26,0.77023,43.75,0.018592
108,26,0.74482,50.00,0.000100
109,26,0.76848,43.75,0.018592
110,26,0.83921,43.75,0.046657
111,26,0.69525,62.50,0.042692
112,26,0.79345,43.75,0.012575
113,26,0.80124,43.75,0.000950
114,26,0.77424,43.75,0.025050
115,26,0.80104,43.75,0.049150
116,26,0.76409,43.75,0.037525
117,26,0.67550,56.25,0.007408
118,26,0.69723,56.25,0.003443
119,26,0.71612,43.75,0.031508
120,26,0.83371,43.75,0.050000
121,26,0.80693,43.75,0.031508
122,26,0.79031,43.75,0.003443
123,26,0.79545,43.75,0.007408
124,26,0.81677,43.75,0.037525
125,26,0.75954,50.00,0.049150
126,26,0.67522,56.25,0.025050
127,26,0.75480,43.75,0.000950
128,26,0.71736,50.00,0.012575
129,26,0.74621,50.00,0.042692
130,26,0.66075,56.25,0.046657
131,26,0.74308,50.00,0.018592
132,26,0.72029,50.00,0.000100
133,26,0.74075,50.00,0.018592
134,26,0.75331,50.00,0.046657
135,26,0.73758,50.00,0.042692
136,26,0.67155,56.25,0.012575
137,26,0.66923,56.25,0.000950
138,26,0.69823,56.25,0.025050
139,26,0.71331,56.25,0.049150
140,26,0.75830,50.00,0.037525
141,26,0.73380,43.75,0.007408
142,26,0.74660,43.75,0.003443
143,26,0.77524,43.75,0.031508
144,26,0.81229,43.75,0.050000
145,26,0.81074,43.75,0.031508
146,26,0.73947,43.75,0.003443
147,26,0.74131,43.75,0.007408
148,26,0.75877,43.75,0.037525
149,26,0.73383,50.00,0.049150
150,26,0.74167,50.00,0.025050
151,26,0.73720,50.00,0.000950
152,26,0.72541,50.00,0.012575
153,26,0.68529,50.00,0.042692
154,26,0.78256,50.00,0.046657
155,26,0.68605,50.00,0.018592
156,26,0.72903,50.00,0.000100
157,26,0.72591,50.00,0.018592
158,26,0.78434,43.75,0.046657
159,26,0.73281,50.00,0.042692
160,26,0.75733,50.00,0.012575
161,26,0.75738,43.75,0.000950
162,26,0.71344,56.25,0.025050
163,26,0.78589,43.75,0.049150
164,26,0.74167,50.00,0.037525
165,26,0.80207,43.75,0.007408
166,26,0.79850,43.75,0.003443
167,26,0.76272,43.75,0.031508
168,26,0.74895,43.75,0.050000
169,26,0.68772,56.25,0.031508
170,26,0.67200,50.00,0.003443
171,26,0.68490,50.00,0.007408
172,26,0.74650,50.00,0.037525
173,26,0.78560,50.00,0.049150
174,26,0.80454,43.75,0.025050
175,26,0.81162,43.75,0.000950
176,26,0.80095,43.75,0.012575
177,26,0.77328,50.00,0.042692
178,26,0.81772,43.75,0.046657
179,26,0.81664,43.75,0.018592
180,26,0.80098,43.75,0.000100
181,26,0.80713,43.75,0.018592
182,26,0.73222,43.75,0.046657
183,26,0.76890,50.00,0.042692
184,26,0.75140,50.00,0.012575
185,26,0.73711,50.00,0.000950
186,26,0.68552,56.25,0.025050
187,26,0.73707,50.00,0.049150
188,26,0.77647,50.00,0.037525
189,26,0.80234,50.00,0.007408
190,26,0.79209,50.00,0.003443
191,26,0.68914,50.00,0.031508
192,26,0.77754,50.00,0.050000
193,26,0.79867,43.75,0.031508
194,26,0.75618,43.75,0.003443
195,26,0.76728,43.75,0.007408
196,26,0.76251,43.75,0.037525
197,26,0.75179,43.75,0.049150
198,26,0.69218,56.25,0.025050
199,26,0.71938,50.00,0.000950
200,26,0.72319,50.00,0.012575
201,26,0.74190,50.00,0.042692
202,26,0.80855,43.75,0.046657
203,26,0.77610,50.00,0.018592
204,26,0.80276,43.75,0.000100
205,26,0.79427,50.00,0.018592
206,26,0.85116,37.50,0.046657
207,26,0.76481,43.75,0.042692
208,26,0.81911,37.50,0.012575
209,26,0.82503,37.50,0.000950
210,26,0.80227,43.75,0.025050
211,26,0.70051,43.75,0.049150
212,26,0.63612,56.25,0.037525
213,26,0.81446,37.50,0.007408
214,26,0.80779,37.50,0.003443
215,26,0.75828,37.50,0.031508
216,26,0.77637,43.75,0.050000
217,26,0.83642,37.50,0.031508
218,26,0.80787,37.50,0.003443
219,26,0.79733,37.50,0.007408
220,26,0.81400,37.50,0.037525
221,26,0.66601,56.25,0.049150
222,26,0.77503,50.00,0.025050
223,26,0.82534,43.75,0.000950
224,26,0.80995,43.75,0.012575
225,26,0.72014,56.25,0.042692
226,26,0.76673,50.00,0.046657
227,26,0.78054,43.75,0.018592
228,26,0.78476,50.00,0.000100
229,26,0.78298,50.00,0.018592
230,26,0.78623,50.00,0.046657
231,26,0.78807,43.75,0.042692
232,26,0.71482,50.00,0.012575
233,26,0.72881,50.00,0.000950
234,26,0.75290,50.00,0.025050
235,26,0.65598,56.25,0.049150
236,26,0.76068,50.00,0.037525
237,26,0.76124,43.75,0.007408
238,26,0.76193,43.75,0.003443
239,26,0.77317,43.75,0.031508
240,26,0.75053,50.00,0.050000
241,26,0.81928,43.75,0.031508
242,26,0.80608,43.75,0.003443
243,26,0.79908,43.75,0.007408
244,26,0.74062,50.00,0.037525
245,26,0.75588,50.00,0.049150
246,26,0.69381,56.25,0.025050
247,26,0.67231,56.25,0.000950
248,26,0.69482,56.25,0.012575
249,26,0.70000,56.25,0.042692
250,26,0.77089,50.00,0.046657
251,26,0.74114,50.00,0.018592
252,26,0.73840,50.00,0.000100
253,26,0.75350,50.00,0.018592
254,26,0.66705,62.50,0.046657
255,26,0.67379,56.25,0.042692
256,26,0.74303,50.00,0.012575
257,26,0.73522,50.00,0.000950
258,26,0.70952,50.00,0.025050
259,26,0.65159,56.25,0.049150
260,26,0.71778,56.25,0.037525
261,26,0.74483,50.00,0.007408
262,26,0.74328,50.00,0.003443
263,26,0.69152,56.25,0.031508
264,26,0.65276,62.50,0.050000
265,26,0.65686,62.50,0.031508
266,26,0.67467,62.50,0.003443
267,26,0.67795,62.50,0.007408
268,26,0.65586,62.50,0.037525
269,26,0.72502,56.25,0.049150
270,26,0.72140,50.00,0.025050
271,26,0.74741,50.00,0.000950
272,26,0.75981,43.75,0.012575
273,26,0.83739,37.50,0.042692
274,26,0.78179,43.75,0.046657
275,26,0.83402,37.50,0.018592
