epoch,batch,loss,acc,lr
1,17,0.72608,25.00,0.077023
2,17,0.66941,75.00,0.029424
3,17,0.67653,50.00,0.001390
4,17,0.67627,50.00,0.018948
5,17,0.71408,37.50,0.065796
6,17,0.72500,37.50,0.098445
7,17,0.64267,62.50,0.086584
8,17,0.66326,50.00,0.041225
9,17,0.69315,50.00,0.004476
10,17,0.68706,50.00,0.010454
11,17,0.67799,50.00,0.053608
12,17,0.65086,50.00,0.093877
13,17,0.67895,50.00,0.093877
14,17,0.65798,62.50,0.053608
15,17,0.72286,56.25,0.010454
16,17,0.71841,50.00,0.004476
17,17,0.71696,37.50,0.041225
18,17,0.64950,50.00,0.086584
19,17,0.70121,37.50,0.098445
20,17,0.67732,50.00,0.065796
21,17,0.72619,37.50,0.018948
22,17,0.73446,37.50,0.001390
23,17,0.71832,37.50,0.029424
24,17,0.67304,43.75,0.077023
25,17,0.70613,37.50,0.100000
26,17,0.69951,37.50,0.077023
27,17,0.70293,50.00,0.029424
28,17,0.72276,37.50,0.001390
29,17,0.71591,37.50,0.018948
30,17,0.62898,75.00,0.065796
31,17,0.72282,37.50,0.098445
32,17,0.68477,37.50,0.086584
33,17,0.64579,62.50,0.041225
34,17,0.63783,62.50,0.004476
35,17,0.65133,50.00,0.010454
36,17,0.69029,37.50,0.053608
37,17,0.67253,50.00,0.093877
38,17,0.62332,87.50,0.093877
39,17,0.66154,43.75,0.053608
40,17,0.70414,37.50,0.010454
41,17,0.70835,37.50,0.004476
42,17,0.69935,37.50,0.041225
43,17,0.64565,75.00,0.086584
44,17,0.74964,31.25,0.098445
45,17,0.66087,75.00,0.065796
46,17,0.74923,37.50,0.018948
47,17,0.74971,37.50,0.001390
48,17,0.70166,43.75,0.029424
49,17,0.61423,75.00,0.077023
50,17,0.73652,37.50,0.100000
51,17,0.62161,81.25,0.077023
52,17,0.63722,50.00,0.029424
53,17,0.64487,50.00,0.001390
54,17,0.64252,50.00,0.018948
55,17,0.67847,50.00,0.065796
56,17,0.69100,43.75,0.098445
57,17,0.68854,43.75,0.086584
58,17,0.60397,87.50,0.041225
59,17,0.67932,43.75,0.004476
60,17,0.68089,43.75,0.010454
61,17,0.70348,37.50,0.053608
62,17,0.74318,31.25,0.093877
63,17,0.64088,56.25,0.093877
64,17,0.62458,87.50,0.053608
65,17,0.62427,81.25,0.010454
66,17,0.64696,62.50,0.004476
67,17,0.73475,37.50,0.041225
68,17,0.59082,81.25,0.086584
69,17,0.61131,75.00,0.098445
70,17,0.61151,87.50,0.065796
71,17,0.58060,81.25,0.018948
72,17,0.59318,81.25,0.001390
73,17,0.66083,50.00,0.029424
74,17,0.64660,43.75,0.077023
75,17,0.70145,37.50,0.100000
76,17,0.60158,81.25,0.077023
77,17,0.72965,31.25,0.029424
78,17,0.63800,75.00,0.001390
79,17,0.63699,81.25,0.018948
80,17,0.65884,43.75,0.065796
81,17,0.61163,87.50,0.098445
82,17,0.70998,31.25,0.086584
83,17,0.60247,87.50,0.041225
84,17,0.66847,37.50,0.004476
85,17,0.65912,62.50,0.010454
86,17,0.58793,87.50,0.053608
87,17,0.65063,68.75,0.093877
88,17,0.69762,62.50,0.093877
89,17,0.61501,87.50,0.053608
90,17,0.58529,87.50,0.010454
91,17,0.58766,87.50,0.004476
92,17,0.56457,87.50,0.041225
93,17,0.65588,75.00,0.086584
94,17,0.57468,81.25,0.098445
95,17,0.59288,87.50,0.065796
96,17,0.63858,87.50,0.018948
97,17,0.66256,75.00,0.001390
98,17,0.65280,75.00,0.029424
99,17,0.58713,87.50,0.077023
100,17,0.56352,81.25,0.100000
101,17,0.55341,87.50,0.077023
102,17,0.58095,81.25,0.029424
103,17,0.56096,87.50,0.001390
104,17,0.55484,87.50,0.018948
105,17,0.59636,87.50,0.065796
106,17,0.60485,87.50,0.098445
107,17,0.58733,87.50,0.086584
108,17,0.62205,81.25,0.041225
109,17,0.53667,87.50,0.004476
110,17,0.53666,87.50,0.010454
111,17,0.54218,87.50,0.053608
112,17,0.55625,81.25,0.093877
113,17,0.60055,87.50,0.093877
114,17,0.59670,81.25,0.053608
115,17,0.56549,87.50,0.010454
116,17,0.57870,87.50,0.004476
117,17,0.56904,87.50,0.041225
118,17,0.55391,87.50,0.086584
119,17,0.59861,81.25,0.098445
120,17,0.59031,87.50,0.065796
121,17,0.57809,87.50,0.018948
122,17,0.57011,87.50,0.001390
123,17,0.58186,87.50,0.029424
124,17,0.53251,87.50,0.077023
125,17,0.62748,75.00,0.100000
126,17,0.72821,25.00,0.077023
127,17,0.54981,87.50,0.029424
128,17,0.60018,87.50,0.001390
129,17,0.59480,87.50,0.018948
130,17,0.55773,87.50,0.065796
131,17,0.54604,87.50,0.098445
132,17,0.62086,87.50,0.086584
133,17,0.56404,87.50,0.041225
134,17,0.54014,87.50,0.004476
135,17,0.54541,87.50,0.010454
136,17,0.52484,87.50,0.053608
137,17,0.51409,87.50,0.093877
138,17,0.57662,87.50,0.093877
139,17,0.58666,87.50,0.053608
140,17,0.53332,87.50,0.010454
141,17,0.53361,87.50,0.004476
142,17,0.58016,87.50,0.041225
143,17,0.59498,81.25,0.086584
144,17,0.59150,81.25,0.098445
145,17,0.54506,81.25,0.065796
146,17,0.51466,81.25,0.018948
147,17,0.50446,87.50,0.001390
148,17,0.53567,81.25,0.029424
149,17,0.51177,81.25,0.077023
150,17,0.73223,37.50,0.100000
151,17,0.52479,87.50,0.077023
152,17,0.55823,93.75,0.029424
153,17,0.54134,93.75,0.001390
154,17,0.53987,87.50,0.018948
155,17,0.50929,87.50,0.065796
156,17,0.49160,93.75,0.098445
157,17,0.54477,87.50,0.086584
158,17,0.63508,75.00,0.041225
159,17,0.57305,87.50,0.004476
160,17,0.55675,87.50,0.010454
161,17,0.53051,87.50,0.053608
162,17,0.53875,87.50,0.093877
163,17,0.50368,93.75,0.093877
164,17,0.58848,75.00,0.053608
165,17,0.57780,81.25,0.010454
166,17,0.56250,81.25,0.004476
167,17,0.53491,87.50,0.041225
168,17,0.56139,81.25,0.086584
169,17,0.62245,75.00,0.098445
170,17,0.61638,75.00,0.065796
171,17,0.66042,56.25,0.018948
172,17,0.63144,62.50,0.001390
173,17,0.65340,56.25,0.029424
174,17,0.66789,62.50,0.077023
175,17,0.57971,81.25,0.100000
176,17,0.57555,81.25,0.077023
177,17,0.58309,81.25,0.029424
178,17,0.59684,81.25,0.001390
179,17,0.58169,81.25,0.018948
180,17,0.56150,81.25,0.065796
181,17,0.50012,81.25,0.098445
182,17,0.74104,43.75,0.086584
183,17,0.60613,81.25,0.041225
184,17,0.60666,81.25,0.004476
185,17,0.61465,81.25,0.010454
186,17,0.66341,75.00,0.053608
187,17,0.55023,81.25,0.093877
188,17,0.58345,87.50,0.093877
189,17,0.61137,75.00,0.053608
190,17,0.61726,81.25,0.010454
191,17,0.61332,81.25,0.004476
192,17,0.56864,87.50,0.041225
193,17,0.65051,75.00,0.086584
194,17,0.60851,75.00,0.098445
195,17,0.69185,68.75,0.065796
196,17,0.61030,81.25,0.018948
197,17,0.59531,81.25,0.001390
198,17,0.64067,81.25,0.029424
199,17,0.56535,81.25,0.077023
200,17,0.65014,68.75,0.100000
201,17,0.61354,75.00,0.077023
202,17,0.63526,68.75,0.029424
203,17,0.62887,68.75,0.001390
204,17,0.60777,75.00,0.018948
