epoch,batch,loss,acc,lr
1,16,0.63534,67.09,0.084025
2,16,0.63480,67.09,0.046412
3,16,0.63288,67.09,0.011438
4,16,0.63326,67.09,0.001675
5,16,0.63253,67.09,0.023426
6,16,0.64149,59.49,0.062652
7,16,0.63896,59.49,0.094034
8,16,0.63233,67.09,0.097318
9,16,0.62468,67.09,0.070384
10,16,0.62581,65.82,0.030616
11,16,0.62326,68.35,0.003682
12,16,0.62224,69.62,0.006966
13,16,0.62156,68.35,0.038348
14,16,0.62348,68.35,0.077574
15,16,0.62040,68.35,0.099325
16,16,0.62614,67.09,0.089562
17,16,0.62551,68.35,0.054588
18,16,0.62516,68.35,0.016975
19,16,0.62450,68.35,0.001000
20,16,0.62429,68.35,0.016975
21,16,0.62406,68.35,0.054588
22,16,0.62412,68.35,0.089562
23,16,0.62064,68.35,0.099325
24,16,0.62682,65.82,0.077574
25,16,0.62225,68.35,0.038348
26,16,0.62298,68.35,0.006966
27,16,0.62285,68.35,0.003682
28,16,0.62225,68.35,0.030616
29,16,0.62522,65.82,0.070384
30,16,0.63057,62.03,0.097318
31,16,0.62592,68.35,0.094034
32,16,0.62579,68.35,0.062652
33,16,0.62950,67.09,0.023426
34,16,0.62762,67.09,0.001675
35,16,0.62711,68.35,0.011438
36,16,0.62516,68.35,0.046412
37,16,0.62598,67.09,0.084025
38,16,0.62141,68.35,0.100000
39,16,0.62196,68.35,0.084025
40,16,0.62281,68.35,0.046412
41,16,0.62294,68.35,0.011438
42,16,0.62337,68.35,0.001675
43,16,0.62387,68.35,0.023426
44,16,0.62902,67.09,0.062652
45,16,0.62052,68.35,0.094034
46,16,0.62299,68.35,0.097318
47,16,0.62294,68.35,0.070384
48,16,0.62252,69.62,0.030616
49,16,0.62274,68.35,0.003682
50,16,0.62267,68.35,0.006966
51,16,0.62234,69.62,0.038348
52,16,0.61872,69.62,0.077574
53,16,0.62276,68.35,0.099325
54,16,0.62315,68.35,0.089562
55,16,0.62252,68.35,0.054588
56,16,0.62416,68.35,0.016975
57,16,0.62482,68.35,0.001000
58,16,0.62432,68.35,0.016975
59,16,0.62287,68.35,0.054588
60,16,0.61758,68.35,0.089562
61,16,0.61895,68.35,0.099325
62,16,0.62341,68.35,0.077574
63,16,0.62406,67.09,0.038348
64,16,0.62534,68.35,0.006966
65,16,0.62546,68.35,0.003682
66,16,0.62502,67.09,0.030616
67,16,0.62643,68.35,0.070384
68,16,0.62438,68.35,0.097318
69,16,0.62134,68.35,0.094034
70,16,0.62467,68.35,0.062652
71,16,0.62446,68.35,0.023426
72,16,0.62403,68.35,0.001675
73,16,0.62377,68.35,0.011438
74,16,0.62329,68.35,0.046412
75,16,0.62373,68.35,0.084025
76,16,0.62480,67.09,0.100000
77,16,0.62553,68.35,0.084025
78,16,0.62569,68.35,0.046412
79,16,0.62568,67.09,0.011438
80,16,0.62583,67.09,0.001675
81,16,0.62558,67.09,0.023426
82,16,0.62320,68.35,0.062652
83,16,0.62541,68.35,0.094034
84,16,0.62548,68.35,0.097318
85,16,0.62163,68.35,0.070384
86,16,0.61809,69.62,0.030616
87,16,0.61711,69.62,0.003682
88,16,0.61724,69.62,0.006966
89,16,0.61875,69.62,0.038348
90,16,0.62060,69.62,0.077574
91,16,0.62091,68.35,0.099325
92,16,0.62227,68.35,0.089562
93,16,0.62633,68.35,0.054588
94,16,0.62715,67.09,0.016975
95,16,0.62720,67.09,0.001000
96,16,0.62723,68.35,0.016975
97,16,0.62798,68.35,0.054588
98,16,0.62743,67.09,0.089562
99,16,0.63008,67.09,0.099325
100,16,0.62427,67.09,0.077574
101,16,0.62319,67.09,0.038348
102,16,0.62319,68.35,0.006966
103,16,0.62315,68.35,0.003682
104,16,0.62262,68.35,0.030616
105,16,0.62118,68.35,0.070384
106,16,0.61642,69.62,0.097318
107,16,0.62612,68.35,0.094034
108,16,0.61821,69.62,0.062652
109,16,0.61709,68.35,0.023426
110,16,0.61669,68.35,0.001675
111,16,0.61663,68.35,0.011438
112,16,0.61842,68.35,0.046412
113,16,0.62112,68.35,0.084025
114,16,0.62180,68.35,0.100000
115,16,0.62175,68.35,0.084025
116,16,0.62450,68.35,0.046412
117,16,0.62158,68.35,0.011438
118,16,0.62144,68.35,0.001675
119,16,0.62148,69.62,0.023426
120,16,0.62370,68.35,0.062652
121,16,0.62781,67.09,0.094034
122,16,0.62299,70.89,0.097318
123,16,0.62154,69.62,0.070384
124,16,0.62121,69.62,0.030616
125,16,0.62211,69.62,0.003682
126,16,0.62230,69.62,0.006966
127,16,0.62204,69.62,0.038348
128,16,0.62321,68.35,0.077574
129,16,0.62351,69.62,0.099325
130,16,0.62556,68.35,0.089562
131,16,0.62463,68.35,0.054588
132,16,0.62294,68.35,0.016975
133,16,0.62242,68.35,0.001000
134,16,0.62199,68.35,0.016975
135,16,0.62241,67.09,0.054588
136,16,0.62723,67.09,0.089562
137,16,0.62076,69.62,0.099325
138,16,0.63671,64.56,0.077574
139,16,0.63190,67.09,0.038348
140,16,0.62697,67.09,0.006966
141,16,0.62672,68.35,0.003682
142,16,0.62839,68.35,0.030616
143,16,0.63446,64.56,0.070384
144,16,0.62432,68.35,0.097318
145,16,0.62359,68.35,0.094034
146,16,0.62481,68.35,0.062652
147,16,0.62473,68.35,0.023426
148,16,0.62480,68.35,0.001675
149,16,0.62455,68.35,0.011438
150,16,0.62531,67.09,0.046412
151,16,0.62143,68.35,0.084025
152,16,0.62407,70.89,0.100000
153,16,0.61075,68.35,0.084025
154,16,0.61183,68.35,0.046412
155,16,0.61043,68.35,0.011438
156,16,0.60993,68.35,0.001675
157,16,0.61166,68.35,0.023426
158,16,0.63268,69.62,0.062652
159,16,0.61956,68.35,0.094034
160,16,0.62202,67.09,0.097318
161,16,0.62406,65.82,0.070384
162,16,0.61715,67.09,0.030616
163,16,0.61713,67.09,0.003682
164,16,0.61697,67.09,0.006966
165,16,0.61773,68.35,0.038348
166,16,0.61975,68.35,0.077574
167,16,0.62603,64.56,0.099325
168,16,0.61968,68.35,0.089562
169,16,0.63063,67.09,0.054588
170,16,0.63351,67.09,0.016975
171,16,0.63030,67.09,0.001000
172,16,0.62243,68.35,0.016975
173,16,0.62314,69.62,0.054588
174,16,0.62067,67.09,0.089562
175,16,0.61249,69.62,0.099325
176,16,0.61906,68.35,0.077574
177,16,0.62227,67.09,0.038348
178,16,0.62374,68.35,0.006966
179,16,0.62388,68.35,0.003682
180,16,0.62018,67.09,0.030616
181,16,0.61978,72.15,0.070384
182,16,0.62035,68.35,0.097318
183,16,0.63955,65.82,0.094034
184,16,0.63018,68.35,0.062652
185,16,0.62699,67.09,0.023426
186,16,0.62652,67.09,0.001675
187,16,0.62648,67.09,0.011438
188,16,0.62361,67.09,0.046412
189,16,0.62877,65.82,0.084025
190,16,0.62585,68.35,0.100000
191,16,0.62064,69.62,0.084025
192,16,0.62215,68.35,0.046412
193,16,0.62010,68.35,0.011438
194,16,0.62015,68.35,0.001675
195,16,0.61972,67.09,0.023426
196,16,0.62188,67.09,0.062652
197,16,0.63536,65.82,0.094034
198,16,0.62153,68.35,0.097318
199,16,0.62413,69.62,0.070384
200,16,0.62725,67.09,0.030616
201,16,0.62423,68.35,0.003682
202,16,0.62514,68.35,0.006966
203,16,0.65299,67.09,0.038348
204,16,0.63411,68.35,0.077574
205,16,0.63203,68.35,0.099325
206,16,0.62013,69.62,0.089562
207,16,0.62234,68.35,0.054588
208,16,0.61889,68.35,0.016975
209,16,0.61858,68.35,0.001000
210,16,0.61811,70.89,0.016975
211,16,0.63008,67.09,0.054588
212,16,0.62042,68.35,0.089562
213,16,0.61317,68.35,0.099325
214,16,0.61605,68.35,0.077574
215,16,0.60829,69.62,0.038348
216,16,0.60845,69.62,0.006966
217,16,0.60863,69.62,0.003682
218,16,0.60801,70.89,0.030616
219,16,0.61057,67.09,0.070384
220,16,0.60777,70.89,0.097318
221,16,0.61248,69.62,0.094034
222,16,0.62650,68.35,0.062652
223,16,0.63254,69.62,0.023426
224,16,0.62329,69.62,0.001675
225,16,0.62384,69.62,0.011438
226,16,0.62544,70.89,0.046412
227,16,0.61880,68.35,0.084025
228,16,0.60638,69.62,0.100000
229,16,0.62110,69.62,0.084025
230,16,0.62852,67.09,0.046412
231,16,0.63497,67.09,0.011438
232,16,0.62981,65.82,0.001675
233,16,0.61608,68.35,0.023426
234,16,0.61607,67.09,0.062652
235,16,0.60761,69.62,0.094034
236,16,0.60769,68.35,0.097318
237,16,0.60086,69.62,0.070384
238,16,0.60882,67.09,0.030616
239,16,0.59486,69.62,0.003682
240,16,0.59395,70.89,0.006966
241,16,0.59732,70.89,0.038348
242,16,0.62095,68.35,0.077574
243,16,0.60672,70.89,0.099325
244,16,0.61248,67.09,0.089562
245,16,0.60843,67.09,0.054588
246,16,0.61256,65.82,0.016975
247,16,0.60648,68.35,0.001000
248,16,0.60717,69.62,0.016975
249,16,0.60878,68.35,0.054588
250,16,0.61237,65.82,0.089562
251,16,0.61330,67.09,0.099325
252,16,0.61705,69.62,0.077574
253,16,0.61378,68.35,0.038348
254,16,0.61582,68.35,0.006966
255,16,0.61482,68.35,0.003682
256,16,0.60967,69.62,0.030616
257,16,0.62669,68.35,0.070384
258,16,0.60635,69.62,0.097318
259,16,0.59673,70.89,0.094034
260,16,0.60230,68.35,0.062652
261,16,0.60004,68.35,0.023426
262,16,0.60535,68.35,0.001675
263,16,0.60787,68.35,0.011438
264,16,0.60596,67.09,0.046412
265,16,0.60395,70.89,0.084025
266,16,0.60487,68.35,0.100000
267,16,0.60882,68.35,0.084025
268,16,0.60732,69.62,0.046412
269,16,0.61691,68.35,0.011438
270,16,0.61346,68.35,0.001675
271,16,0.60796,68.35,0.023426
272,16,0.60012,72.15,0.062652
273,16,0.60533,70.89,0.094034
274,16,0.62407,69.62,0.097318
275,16,0.59962,70.89,0.070384
276,16,0.60517,69.62,0.030616
277,16,0.61553,69.62,0.003682
278,16,0.61638,68.35,0.006966
279,16,0.61573,68.35,0.038348
280,16,0.61291,69.62,0.077574
281,16,0.62552,64.56,0.099325
282,16,0.63817,67.09,0.089562
283,16,0.64189,67.09,0.054588
284,16,0.64184,67.09,0.016975
285,16,0.64183,67.09,0.001000
286,16,0.64182,67.09,0.016975
287,16,0.64175,67.09,0.054588
288,16,0.64156,67.09,0.089562
289,16,0.64088,67.09,0.099325
290,16,0.63981,67.09,0.077574
291,16,0.63833,67.09,0.038348
292,16,0.63712,67.09,0.006966
293,16,0.63684,67.09,0.003682
294,16,0.63618,67.09,0.030616
295,16,0.63433,67.09,0.070384
296,16,0.63429,67.09,0.097318
297,16,0.63503,67.09,0.094034
298,16,0.63422,67.09,0.062652
299,16,0.63624,67.09,0.023426
300,16,0.63578,67.09,0.001675
1,16,0.66534,63.29,0.084025
2,16,0.66543,63.29,0.046412
3,16,0.67987,53.16,0.011438
4,16,0.67418,60.76,0.001675
5,16,0.66863,62.03,0.023426
6,16,0.66878,62.03,0.062652
7,16,0.67682,59.49,0.094034
8,16,0.66421,62.03,0.097318
9,16,0.65928,62.03,0.070384
10,16,0.65819,62.03,0.030616
11,16,0.66284,63.29,0.003682
12,16,0.66268,63.29,0.006966
13,16,0.66329,62.03,0.038348
14,16,0.66210,62.03,0.077574
15,16,0.67015,62.03,0.099325
16,16,0.66955,62.03,0.089562
17,16,0.67021,62.03,0.054588
18,16,0.66290,62.03,0.016975
19,16,0.66220,62.03,0.001000
20,16,0.66301,62.03,0.016975
21,16,0.66161,62.03,0.054588
22,16,0.66591,62.03,0.089562
23,16,0.66624,62.03,0.099325
24,16,0.67206,62.03,0.077574
25,16,0.67581,62.03,0.038348
26,16,0.67477,62.03,0.006966
27,16,0.67457,62.03,0.003682
28,16,0.67364,62.03,0.030616
29,16,0.66784,62.03,0.070384
30,16,0.66197,62.03,0.097318
31,16,0.66766,62.03,0.094034
32,16,0.65993,62.03,0.062652
33,16,0.67177,62.03,0.023426
34,16,0.67297,62.03,0.001675
35,16,0.67206,62.03,0.011438
36,16,0.66527,62.03,0.046412
37,16,0.66371,62.03,0.084025
38,16,0.67062,62.03,0.100000
39,16,0.67307,62.03,0.084025
40,16,0.66133,62.03,0.046412
41,16,0.65861,62.03,0.011438
42,16,0.65804,62.03,0.001675
43,16,0.65737,62.03,0.023426
44,16,0.65740,62.03,0.062652
45,16,0.65780,62.03,0.094034
46,16,0.64951,64.56,0.097318
47,16,0.64844,64.56,0.070384
48,16,0.65091,63.29,0.030616
49,16,0.65347,64.56,0.003682
50,16,0.65357,62.03,0.006966
51,16,0.65421,62.03,0.038348
52,16,0.65898,62.03,0.077574
53,16,0.65737,62.03,0.099325
54,16,0.65493,63.29,0.089562
55,16,0.66361,62.03,0.054588
56,16,0.67286,62.03,0.016975
57,16,0.67250,62.03,0.001000
58,16,0.67179,62.03,0.016975
59,16,0.66378,62.03,0.054588
60,16,0.66314,62.03,0.089562
61,16,0.66755,62.03,0.099325
62,16,0.65343,63.29,0.077574
63,16,0.65710,64.56,0.038348
64,16,0.65667,64.56,0.006966
65,16,0.65711,64.56,0.003682
66,16,0.65767,64.56,0.030616
67,16,0.65672,63.29,0.070384
68,16,0.66893,60.76,0.097318
69,16,0.66007,65.82,0.094034
70,16,0.66252,63.29,0.062652
71,16,0.65965,64.56,0.023426
72,16,0.66128,63.29,0.001675
73,16,0.66145,60.76,0.011438
74,16,0.66417,62.03,0.046412
75,16,0.67229,62.03,0.084025
76,16,0.66189,63.29,0.100000
77,16,0.66542,59.49,0.084025
78,16,0.65274,65.82,0.046412
79,16,0.65697,62.03,0.011438
80,16,0.65663,62.03,0.001675
81,16,0.65417,65.82,0.023426
82,16,0.65130,64.56,0.062652
83,16,0.64610,62.03,0.094034
84,16,0.64602,65.82,0.097318
85,16,0.65118,62.03,0.070384
86,16,0.64421,65.82,0.030616
87,16,0.64268,64.56,0.003682
88,16,0.64246,64.56,0.006966
89,16,0.64511,64.56,0.038348
90,16,0.65584,62.03,0.077574
91,16,0.66589,63.29,0.099325
92,16,0.65328,63.29,0.089562
93,16,0.65205,63.29,0.054588
94,16,0.64742,65.82,0.016975
95,16,0.64487,65.82,0.001000
96,16,0.64559,65.82,0.016975
97,16,0.65040,62.03,0.054588
98,16,0.64196,64.56,0.089562
99,16,0.65251,64.56,0.099325
100,16,0.64167,65.82,0.077574
101,16,0.64977,65.82,0.038348
102,16,0.64577,65.82,0.006966
103,16,0.64555,64.56,0.003682
104,16,0.64164,65.82,0.030616
105,16,0.66778,62.03,0.070384
106,16,0.64642,65.82,0.097318
107,16,0.64535,63.29,0.094034
108,16,0.63613,67.09,0.062652
109,16,0.64811,62.03,0.023426
110,16,0.65220,62.03,0.001675
111,16,0.65193,62.03,0.011438
112,16,0.65455,62.03,0.046412
113,16,0.64244,65.82,0.084025
114,16,0.65821,63.29,0.100000
115,16,0.67345,56.96,0.084025
116,16,0.66898,62.03,0.046412
117,16,0.65449,64.56,0.011438
118,16,0.65112,67.09,0.001675
119,16,0.65265,65.82,0.023426
120,16,0.64674,64.56,0.062652
121,16,0.64367,68.35,0.094034
122,16,0.64474,65.82,0.097318
123,16,0.65054,64.56,0.070384
124,16,0.63991,65.82,0.030616
125,16,0.64209,62.03,0.003682
126,16,0.64130,62.03,0.006966
127,16,0.63998,65.82,0.038348
128,16,0.63130,67.09,0.077574
129,16,0.63967,63.29,0.099325
130,16,0.67902,62.03,0.089562
131,16,0.65626,64.56,0.054588
132,16,0.63568,65.82,0.016975
133,16,0.63616,65.82,0.001000
134,16,0.63554,65.82,0.016975
135,16,0.66265,63.29,0.054588
136,16,0.66143,59.49,0.089562
137,16,0.66899,58.23,0.099325
138,16,0.64017,63.29,0.077574
139,16,0.64275,65.82,0.038348
140,16,0.63847,64.56,0.006966
141,16,0.63843,64.56,0.003682
142,16,0.63974,65.82,0.030616
143,16,0.63719,68.35,0.070384
144,16,0.63954,65.82,0.097318
145,16,0.65717,60.76,0.094034
146,16,0.64429,63.29,0.062652
147,16,0.63617,64.56,0.023426
148,16,0.63677,67.09,0.001675
149,16,0.63535,67.09,0.011438
150,16,0.62827,70.89,0.046412
151,16,0.63188,67.09,0.084025
152,16,0.63442,65.82,0.100000
153,16,0.68124,60.76,0.084025
154,16,0.67324,62.03,0.046412
155,16,0.64576,64.56,0.011438
156,16,0.64381,64.56,0.001675
157,16,0.64115,64.56,0.023426
158,16,0.64343,60.76,0.062652
159,16,0.61478,64.56,0.094034
160,16,0.64482,62.03,0.097318
161,16,0.68313,62.03,0.070384
162,16,0.65470,60.76,0.030616
163,16,0.66469,65.82,0.003682
164,16,0.66316,67.09,0.006966
165,16,0.64794,65.82,0.038348
166,16,0.65215,62.03,0.077574
167,16,0.63945,65.82,0.099325
168,16,0.63764,69.62,0.089562
169,16,0.63641,67.09,0.054588
170,16,0.63115,68.35,0.016975
