epoch,batch,loss,acc,lr
1,12,0.71577,37.50,0.097074
2,12,0.61153,87.50,0.088640
3,12,0.71805,50.00,0.075698
4,12,0.76060,31.25,0.059775
5,12,0.69207,62.50,0.042756
6,12,0.67410,62.50,0.026653
7,12,0.67333,50.00,0.013370
8,12,0.67485,50.00,0.004476
9,12,0.67833,50.00,0.001024
10,12,0.68179,50.00,0.003423
11,12,0.68045,50.00,0.011387
12,12,0.67125,50.00,0.023977
13,12,0.70552,37.50,0.039702
14,12,0.70244,37.50,0.056704
15,12,0.67570,50.00,0.072973
16,12,0.64114,75.00,0.086584
17,12,0.69639,50.00,0.095929
18,12,0.64331,50.00,0.099902
19,12,0.68909,37.50,0.098035
20,12,0.70983,37.50,0.090546
21,12,0.65464,50.00,0.078323
22,12,0.68199,50.00,0.062810
23,12,0.70531,43.75,0.045842
24,12,0.69522,50.00,0.029424
25,12,0.69824,37.50,0.015498
26,12,0.69050,37.50,0.005711
27,12,0.68845,37.50,0.001220
28,12,0.68771,37.50,0.002555
29,12,0.68721,43.75,0.009560
30,12,0.69775,37.50,0.021405
31,12,0.68094,43.75,0.036690
32,12,0.71793,37.50,0.053608
33,12,0.68279,50.00,0.070159
34,12,0.66971,50.00,0.084385
35,12,0.72220,37.50,0.094605
36,12,0.74718,37.50,0.099610
37,12,0.67041,50.00,0.098808
38,12,0.72888,50.00,0.092294
39,12,0.67237,50.00,0.080839
40,12,0.67540,56.25,0.065796
41,12,0.74955,37.50,0.048945
42,12,0.72022,37.50,0.032278
43,12,0.66153,50.00,0.017765
44,12,0.66107,50.00,0.007123
45,12,0.66525,50.00,0.001609
46,12,0.66782,50.00,0.001877
47,12,0.66752,50.00,0.007893
48,12,0.67256,50.00,0.018948
49,12,0.70940,43.75,0.033732
50,12,0.66367,50.00,0.050500
51,12,0.70695,50.00,0.067268
52,12,0.61937,68.75,0.082052
53,12,0.69141,37.50,0.093107
54,12,0.61508,87.50,0.099123
55,12,0.72317,37.50,0.099391
56,12,0.67817,50.00,0.093877
57,12,0.67173,62.50,0.083235
58,12,0.65139,56.25,0.068722
59,12,0.71054,50.00,0.052055
60,12,0.66596,50.00,0.035204
61,12,0.65238,50.00,0.020161
62,12,0.67346,50.00,0.008706
63,12,0.68250,50.00,0.002192
64,12,0.68232,50.00,0.001390
65,12,0.68183,50.00,0.006395
66,12,0.69575,43.75,0.016615
67,12,0.68074,50.00,0.030841
68,12,0.65468,50.00,0.047392
69,12,0.76743,37.50,0.064310
70,12,0.69131,43.75,0.079595
71,12,0.63682,56.25,0.091440
72,12,0.73327,43.75,0.098445
73,12,0.74549,43.75,0.099780
74,12,0.58296,81.25,0.095289
75,12,0.67655,50.00,0.085502
76,12,0.58340,87.50,0.071576
77,12,0.65347,56.25,0.055158
78,12,0.70443,37.50,0.038190
79,12,0.64703,81.25,0.022677
80,12,0.62498,81.25,0.010454
81,12,0.63415,87.50,0.002965
82,12,0.63880,81.25,0.001098
83,12,0.64424,68.75,0.005071
84,12,0.65786,56.25,0.014416
85,12,0.64178,68.75,0.028027
86,12,0.65651,56.25,0.044296
87,12,0.69413,43.75,0.061298
88,12,0.67728,43.75,0.077023
89,12,0.65455,50.00,0.089613
90,12,0.66350,43.75,0.097577
91,12,0.75167,37.50,0.099976
92,12,0.70778,37.50,0.096524
93,12,0.65485,43.75,0.087630
94,12,0.77491,37.50,0.074347
95,12,0.66934,50.00,0.058244
96,12,0.66988,43.75,0.041225
97,12,0.69114,37.50,0.025302
98,12,0.75103,37.50,0.012360
99,12,0.71693,43.75,0.003926
100,12,0.71124,43.75,0.001000
101,12,0.71157,43.75,0.003926
102,12,0.72750,37.50,0.012360
103,12,0.73101,37.50,0.025302
104,12,0.70958,37.50,0.041225
105,12,0.66943,43.75,0.058244
106,12,0.72738,37.50,0.074347
107,12,0.64633,56.25,0.087630
108,12,0.74646,37.50,0.096524
109,12,0.77728,37.50,0.099976
110,12,0.69706,37.50,0.097577
111,12,0.69888,43.75,0.089613
112,12,0.66582,43.75,0.077023
113,12,0.64265,75.00,0.061298
114,12,0.63133,81.25,0.044296
115,12,0.63204,81.25,0.028027
116,12,0.68964,43.75,0.014416
117,12,0.72235,37.50,0.005071
118,12,0.71801,37.50,0.001098
119,12,0.71195,37.50,0.002965
120,12,0.69042,37.50,0.010454
121,12,0.69342,37.50,0.022677
122,12,0.67839,43.75,0.038190
123,12,0.71890,37.50,0.055158
124,12,0.69048,43.75,0.071576
125,12,0.78418,37.50,0.085502
126,12,0.69436,43.75,0.095289
127,12,0.71002,37.50,0.099780
128,12,0.74402,37.50,0.098445
129,12,0.60530,68.75,0.091440
130,12,0.80561,37.50,0.079595
131,12,0.63579,62.50,0.064310
132,12,0.76016,31.25,0.047392
133,12,0.68769,43.75,0.030841
134,12,0.73699,31.25,0.016615
135,12,0.74059,37.50,0.006395
136,12,0.73842,37.50,0.001390
137,12,0.73602,37.50,0.002192
138,12,0.72226,43.75,0.008706
139,12,0.69730,43.75,0.020161
140,12,0.63560,68.75,0.035204
141,12,0.63977,75.00,0.052055
142,12,0.77011,31.25,0.068722
143,12,0.71961,43.75,0.083235
144,12,0.70239,43.75,0.093877
145,12,0.69946,43.75,0.099391
146,12,0.75368,43.75,0.099123
147,12,0.65801,43.75,0.093107
148,12,0.69126,43.75,0.082052
149,12,0.69784,50.00,0.067268
150,12,0.67956,43.75,0.050500
151,12,0.62294,56.25,0.033732
152,12,0.67050,37.50,0.018948
153,12,0.69949,43.75,0.007893
154,12,0.70091,43.75,0.001877
155,12,0.69273,43.75,0.001609
156,12,0.67787,43.75,0.007123
157,12,0.69372,43.75,0.017765
158,12,0.69669,43.75,0.032278
159,12,0.69634,50.00,0.048945
160,12,0.68845,50.00,0.065796
161,12,0.69207,43.75,0.080839
162,12,0.76786,43.75,0.092294
163,12,0.71046,43.75,0.098808
164,12,0.71688,37.50,0.099610
165,12,0.72057,50.00,0.094605
166,12,0.67373,50.00,0.084385
167,12,0.63089,75.00,0.070159
168,12,0.80072,37.50,0.053608
169,12,0.73374,50.00,0.036690
170,12,0.73843,37.50,0.021405
171,12,0.69405,43.75,0.009560
172,12,0.71939,50.00,0.002555
173,12,0.72299,43.75,0.001220
174,12,0.72427,43.75,0.005711
175,12,0.73406,43.75,0.015498
176,12,0.71799,43.75,0.029424
177,12,0.75837,37.50,0.045842
178,12,0.59093,62.50,0.062810
179,12,0.71582,56.25,0.078323
180,12,0.57061,75.00,0.090546
181,12,0.78458,50.00,0.098035
182,12,0.80184,43.75,0.099902
183,12,0.72418,43.75,0.095929
184,12,0.63469,56.25,0.086584
185,12,0.80657,37.50,0.072973
186,12,0.81150,37.50,0.056704
187,12,0.82304,37.50,0.039702
188,12,0.79255,43.75,0.023977
189,12,0.83175,37.50,0.011387
190,12,0.83427,37.50,0.003423
191,12,0.83105,37.50,0.001024
192,12,0.83208,37.50,0.004476
193,12,0.82512,37.50,0.013370
194,12,0.81692,37.50,0.026653
195,12,0.80627,43.75,0.042756
196,12,0.87439,37.50,0.059775
197,12,0.84150,31.25,0.075698
198,12,0.76030,43.75,0.088640
199,12,0.70071,50.00,0.097074
200,12,0.91882,18.75,0.100000
201,12,0.70163,43.75,0.097074
202,12,0.68319,50.00,0.088640
203,12,0.82564,37.50,0.075698
204,12,0.81180,37.50,0.059775
205,12,0.82682,25.00,0.042756
206,12,0.61989,68.75,0.026653
207,12,0.61678,68.75,0.013370
208,12,0.63647,56.25,0.004476
209,12,0.63980,56.25,0.001024
210,12,0.64915,50.00,0.003423
211,12,0.69631,50.00,0.011387
212,12,0.75190,50.00,0.023977
213,12,0.77116,43.75,0.039702
214,12,0.78224,37.50,0.056704
215,12,0.53573,81.25,0.072973
216,12,0.66663,56.25,0.086584
217,12,0.49599,81.25,0.095929
218,12,0.61366,68.75,0.099902
219,12,0.60443,68.75,0.098035
220,12,0.63974,68.75,0.090546
221,12,0.89315,25.00,0.078323
222,12,0.80735,31.25,0.062810
223,12,0.61458,75.00,0.045842
224,12,0.67893,50.00,0.029424
225,12,0.60503,87.50,0.015498
226,12,0.62356,68.75,0.005711
227,12,0.64022,62.50,0.001220
228,12,0.64331,62.50,0.002555
229,12,0.65019,68.75,0.009560
230,12,0.63465,62.50,0.021405
231,12,0.67484,56.25,0.036690
232,12,0.56652,81.25,0.053608
233,12,0.68916,50.00,0.070159
234,12,0.84238,37.50,0.084385
235,12,0.58596,68.75,0.094605
236,12,0.62769,50.00,0.099610
237,12,0.90094,25.00,0.098808
238,12,0.68648,56.25,0.092294
239,12,0.77483,37.50,0.080839
240,12,0.80491,31.25,0.065796
241,12,0.71996,50.00,0.048945
242,12,0.62453,68.75,0.032278
243,12,0.69063,62.50,0.017765
244,12,0.62728,68.75,0.007123
245,12,0.60148,68.75,0.001609
246,12,0.60398,68.75,0.001877
247,12,0.63331,68.75,0.007893
248,12,0.73741,43.75,0.018948
249,12,0.63082,68.75,0.033732
250,12,0.67324,62.50,0.050500
251,12,0.62464,62.50,0.067268
252,12,0.53315,81.25,0.082052
253,12,0.82406,37.50,0.093107
254,12,0.51851,81.25,0.099123
255,12,0.68328,56.25,0.099391
256,12,0.51079,87.50,0.093877
257,12,0.64139,50.00,0.083235
258,12,0.65215,56.25,0.068722
259,12,0.79612,50.00,0.052055
260,12,0.79765,43.75,0.035204
261,12,0.76038,43.75,0.020161
262,12,0.79372,43.75,0.008706
263,12,0.81094,43.75,0.002192
264,12,0.80581,43.75,0.001390
265,12,0.78418,43.75,0.006395
266,12,0.79388,43.75,0.016615
267,12,0.78105,43.75,0.030841
268,12,0.80751,43.75,0.047392
269,12,0.74139,50.00,0.064310
270,12,0.79740,50.00,0.079595
271,12,0.98188,18.75,0.091440
272,12,0.92109,31.25,0.098445
273,12,0.64557,56.25,0.099780
274,12,0.83885,37.50,0.095289
275,12,0.82182,37.50,0.085502
276,12,0.86242,37.50,0.071576
277,12,0.82904,37.50,0.055158
278,12,0.89776,25.00,0.038190
279,12,0.90904,31.25,0.022677
280,12,0.87293,37.50,0.010454
281,12,0.85871,43.75,0.002965
282,12,0.85611,43.75,0.001098
283,12,0.85512,43.75,0.005071
284,12,0.80959,43.75,0.014416
285,12,0.79615,43.75,0.028027
286,12,0.82311,43.75,0.044296
287,12,0.89705,37.50,0.061298
288,12,0.74911,43.75,0.077023
289,12,0.65846,56.25,0.089613
290,12,0.88430,50.00,0.097577
291,12,0.75091,43.75,0.099976
292,12,0.72522,50.00,0.096524
293,12,0.83259,37.50,0.087630
294,12,0.76863,50.00,0.074347
295,12,0.75228,50.00,0.058244
296,12,0.70980,50.00,0.041225
297,12,0.72310,50.00,0.025302
298,12,0.74339,50.00,0.012360
299,12,0.75693,50.00,0.003926
300,12,0.76256,50.00,0.001000
1,12,0.66171,66.67,0.097074
2,12,0.65816,73.33,0.088640
3,12,0.65455,73.33,0.075698
4,12,0.65832,73.33,0.059775
5,12,0.65873,73.33,0.042756
6,12,0.66301,73.33,0.026653
7,12,0.66717,60.00,0.013370
8,12,0.66901,53.33,0.004476
9,12,0.66910,53.33,0.001024
10,12,0.66813,46.67,0.003423
11,12,0.66400,66.67,0.011387
12,12,0.65434,73.33,0.023977
13,12,0.65100,73.33,0.039702
14,12,0.64759,80.00,0.056704
15,12,0.64988,73.33,0.072973
16,12,0.64627,73.33,0.086584
17,12,0.66530,73.33,0.095929
18,12,0.66041,66.67,0.099902
19,12,0.63040,73.33,0.098035
20,12,0.62742,73.33,0.090546
21,12,0.62931,73.33,0.078323
22,12,0.65535,66.67,0.062810
23,12,0.66885,66.67,0.045842
24,12,0.66773,60.00,0.029424
25,12,0.65488,73.33,0.015498
26,12,0.64772,73.33,0.005711
27,12,0.64717,73.33,0.001220
28,12,0.64707,73.33,0.002555
29,12,0.64725,73.33,0.009560
30,12,0.64592,73.33,0.021405
31,12,0.64621,73.33,0.036690
32,12,0.65151,66.67,0.053608
33,12,0.66541,66.67,0.070159
34,12,0.67512,53.33,0.084385
35,12,0.64767,66.67,0.094605
36,12,0.64116,66.67,0.099610
37,12,0.63281,73.33,0.098808
38,12,0.64634,66.67,0.092294
39,12,0.65835,53.33,0.080839
40,12,0.65278,66.67,0.065796
41,12,0.64717,73.33,0.048945
42,12,0.66112,73.33,0.032278
43,12,0.65819,73.33,0.017765
44,12,0.65776,73.33,0.007123
45,12,0.65852,73.33,0.001609
46,12,0.65807,73.33,0.001877
47,12,0.65700,73.33,0.007893
48,12,0.66017,73.33,0.018948
49,12,0.66231,73.33,0.033732
50,12,0.65745,73.33,0.050500
51,12,0.65461,66.67,0.067268
52,12,0.67259,66.67,0.082052
53,12,0.64465,66.67,0.093107
54,12,0.65375,73.33,0.099123
55,12,0.64318,73.33,0.099391
56,12,0.64524,73.33,0.093877
57,12,0.67829,53.33,0.083235
58,12,0.63580,73.33,0.068722
59,12,0.64845,66.67,0.052055
60,12,0.66920,66.67,0.035204
61,12,0.66997,66.67,0.020161
62,12,0.66847,66.67,0.008706
63,12,0.66235,66.67,0.002192
64,12,0.66325,66.67,0.001390
65,12,0.66242,66.67,0.006395
66,12,0.66606,60.00,0.016615
67,12,0.67487,46.67,0.030841
68,12,0.69831,53.33,0.047392
69,12,0.68275,53.33,0.064310
70,12,0.67056,66.67,0.079595
71,12,0.68450,60.00,0.091440
72,12,0.64799,73.33,0.098445
73,12,0.68430,53.33,0.099780
74,12,0.67454,66.67,0.095289
75,12,0.65927,66.67,0.085502
76,12,0.67907,60.00,0.071576
77,12,0.66115,60.00,0.055158
78,12,0.69188,53.33,0.038190
79,12,0.66800,66.67,0.022677
80,12,0.67129,66.67,0.010454
81,12,0.67967,66.67,0.002965
82,12,0.68157,60.00,0.001098
83,12,0.68291,60.00,0.005071
84,12,0.68049,60.00,0.014416
85,12,0.67263,60.00,0.028027
86,12,0.66560,60.00,0.044296
87,12,0.69216,60.00,0.061298
88,12,0.70220,46.67,0.077023
89,12,0.67849,46.67,0.089613
90,12,0.66614,66.67,0.097577
91,12,0.69224,46.67,0.099976
92,12,0.69868,53.33,0.096524
93,12,0.66250,60.00,0.087630
94,12,0.66798,66.67,0.074347
95,12,0.68038,60.00,0.058244
96,12,0.69302,46.67,0.041225
97,12,0.65701,53.33,0.025302
98,12,0.65427,60.00,0.012360
99,12,0.66226,60.00,0.003926
100,12,0.66165,60.00,0.001000
101,12,0.66141,60.00,0.003926
102,12,0.66205,60.00,0.012360
103,12,0.66125,53.33,0.025302
104,12,0.67209,53.33,0.041225
105,12,0.68193,46.67,0.058244
106,12,0.70011,53.33,0.074347
107,12,0.67204,53.33,0.087630
108,12,0.65884,66.67,0.096524
109,12,0.73768,40.00,0.099976
110,12,0.69605,60.00,0.097577
111,12,0.71010,40.00,0.089613
112,12,0.69752,60.00,0.077023
113,12,0.69229,53.33,0.061298
114,12,0.69856,60.00,0.044296
115,12,0.70530,53.33,0.028027
116,12,0.71005,46.67,0.014416
117,12,0.72082,40.00,0.005071
118,12,0.72361,40.00,0.001098
119,12,0.72511,40.00,0.002965
120,12,0.72191,46.67,0.010454
121,12,0.72735,46.67,0.022677
122,12,0.73569,40.00,0.038190
123,12,0.69674,46.67,0.055158
124,12,0.77288,40.00,0.071576
125,12,0.68428,53.33,0.085502
126,12,0.74690,33.33,0.095289
127,12,0.73589,40.00,0.099780
128,12,0.72977,53.33,0.098445
129,12,0.72825,46.67,0.091440
130,12,0.66080,60.00,0.079595
131,12,0.71647,40.00,0.064310
132,12,0.72662,46.67,0.047392
133,12,0.74955,40.00,0.030841
134,12,0.73531,46.67,0.016615
135,12,0.75644,33.33,0.006395
136,12,0.75942,33.33,0.001390
137,12,0.75928,33.33,0.002192
138,12,0.75653,40.00,0.008706
139,12,0.77047,33.33,0.020161
140,12,0.77456,33.33,0.035204
141,12,0.78496,46.67,0.052055
142,12,0.73529,40.00,0.068722
143,12,0.80834,40.00,0.083235
144,12,0.76167,46.67,0.093877
145,12,0.77340,33.33,0.099391
146,12,0.72038,46.67,0.099123
147,12,0.73890,53.33,0.093107
148,12,0.75830,46.67,0.082052
149,12,0.71834,53.33,0.067268
150,12,0.78154,46.67,0.050500
151,12,0.77361,33.33,0.033732
152,12,0.77436,40.00,0.018948
153,12,0.78894,40.00,0.007893
154,12,0.79339,46.67,0.001877
155,12,0.79618,46.67,0.001609
156,12,0.79418,46.67,0.007123
157,12,0.78928,40.00,0.017765
158,12,0.80882,46.67,0.032278
159,12,0.80076,46.67,0.048945
160,12,0.79645,46.67,0.065796
161,12,0.84274,40.00,0.080839
162,12,0.81532,46.67,0.092294
163,12,0.74895,53.33,0.098808
164,12,0.77107,46.67,0.099610
165,12,0.75227,46.67,0.094605
166,12,0.80783,40.00,0.084385
167,12,0.70084,60.00,0.070159
168,12,0.70383,60.00,0.053608
169,12,0.80454,40.00,0.036690
170,12,0.73535,53.33,0.021405
171,12,0.74041,53.33,0.009560
172,12,0.73670,53.33,0.002555
173,12,0.73828,53.33,0.001220
174,12,0.74879,53.33,0.005711
175,12,0.75525,60.00,0.015498
176,12,0.75226,46.67,0.029424
177,12,0.72638,66.67,0.045842
178,12,0.74431,53.33,0.062810
179,12,0.77741,53.33,0.078323
180,12,0.76986,46.67,0.090546
181,12,0.74863,60.00,0.098035
182,12,0.84153,40.00,0.099902
183,12,0.70142,53.33,0.095929
184,12,0.71603,53.33,0.086584
185,12,0.79305,46.67,0.072973
