epoch,batch,loss,lr
1,21,1.02798,0.022750
2,21,0.78444,0.008250
3,21,0.80655,0.001000
4,21,0.80251,0.008250
5,21,0.80977,0.022750
6,21,0.85619,0.030000
7,21,0.84658,0.022750
8,21,1.02397,0.008250
9,21,0.90181,0.001000
10,21,0.96281,0.008250
11,21,0.81192,0.022750
12,21,1.01796,0.030000
13,21,0.82737,0.022750
14,21,0.85887,0.008250
15,21,0.84667,0.001000
16,21,0.93869,0.008250
17,21,0.93194,0.022750
18,21,1.00275,0.030000
19,21,0.75075,0.022750
20,21,0.85240,0.008250
21,21,0.79130,0.001000
22,21,0.87252,0.008250
23,21,1.13696,0.022750
24,21,1.16308,0.030000
25,21,0.95889,0.022750
26,21,0.84124,0.008250
27,21,0.83920,0.001000
28,21,0.83950,0.008250
29,21,0.78355,0.022750
30,21,0.71360,0.030000
31,21,0.90315,0.022750
32,21,0.91056,0.008250
33,21,0.95846,0.001000
34,21,0.91844,0.008250
35,21,0.89059,0.022750
36,21,0.81996,0.030000
37,21,0.82573,0.022750
38,21,0.87260,0.008250
39,21,0.86812,0.001000
40,21,0.86333,0.008250
41,21,0.84161,0.022750
42,21,0.84268,0.030000
43,21,1.02200,0.022750
44,21,0.94946,0.008250
45,21,0.92394,0.001000
46,21,0.95148,0.008250
47,21,0.96097,0.022750
48,21,0.94501,0.030000
49,21,0.94385,0.022750
50,21,0.95435,0.008250
51,21,0.95502,0.001000
52,21,0.95850,0.008250
53,21,0.95472,0.022750
54,21,0.97065,0.030000
55,21,0.99667,0.022750
56,21,1.00760,0.008250
57,21,1.02269,0.001000
58,21,1.02045,0.008250
59,21,1.03974,0.022750
60,21,0.98956,0.030000
61,21,0.99261,0.022750
62,21,1.00820,0.008250
63,21,1.01368,0.001000
64,21,1.01804,0.008250
65,21,1.03687,0.022750
66,21,1.03617,0.030000
67,21,1.06239,0.022750
68,21,1.06265,0.008250
69,21,1.05835,0.001000
70,21,1.05736,0.008250
71,21,1.06186,0.022750
72,21,1.08846,0.030000
73,21,1.08676,0.022750
74,21,1.10510,0.008250
75,21,1.09236,0.001000
76,21,1.09888,0.008250
77,21,1.11448,0.022750
78,21,1.12250,0.030000
79,21,1.12930,0.022750
80,21,1.13194,0.008250
81,21,1.13812,0.001000
82,21,1.13533,0.008250
83,21,1.14774,0.022750
84,21,1.16727,0.030000
85,21,1.21271,0.022750
86,21,1.19895,0.008250
87,21,1.19241,0.001000
88,21,1.19734,0.008250
89,21,1.19696,0.022750
90,21,1.20846,0.030000
91,21,1.21856,0.022750
92,21,1.22867,0.008250
93,21,1.21471,0.001000
94,21,1.22636,0.008250
95,21,1.22541,0.022750
96,21,1.23759,0.030000
97,21,1.24285,0.022750
98,21,1.25451,0.008250
99,21,1.24957,0.001000
100,21,1.25201,0.008250
101,21,1.25829,0.022750
102,21,1.27296,0.030000
103,21,1.26903,0.022750
104,21,1.27625,0.008250
105,21,1.27811,0.001000
106,21,1.27690,0.008250
107,21,1.28197,0.022750
108,21,1.29764,0.030000
109,21,1.30792,0.022750
110,21,1.32494,0.008250
111,21,1.32371,0.001000
112,21,1.31977,0.008250
113,21,1.33364,0.022750
114,21,1.32542,0.030000
115,21,1.35122,0.022750
116,21,1.34286,0.008250
117,21,1.34696,0.001000
118,21,1.34543,0.008250
119,21,1.35034,0.022750
120,21,1.36049,0.030000
121,21,1.37902,0.022750
122,21,1.37441,0.008250
123,21,1.37565,0.001000
124,21,1.38068,0.008250
125,21,1.39358,0.022750
126,21,1.40936,0.030000
127,21,1.39434,0.022750
128,21,1.39832,0.008250
129,21,1.41342,0.001000
130,21,1.41366,0.008250
131,21,1.42031,0.022750
132,21,1.43952,0.030000
133,21,1.44058,0.022750
134,21,1.44083,0.008250
135,21,1.44472,0.001000
136,21,1.44743,0.008250
137,21,1.46335,0.022750
138,21,1.45701,0.030000
139,21,1.47976,0.022750
140,21,1.49022,0.008250
141,21,1.48638,0.001000
142,21,1.48548,0.008250
143,21,1.48743,0.022750
144,21,1.49624,0.030000
145,21,1.52816,0.022750
146,21,1.52316,0.008250
147,21,1.51541,0.001000
148,21,1.52251,0.008250
149,21,1.52996,0.022750
150,21,1.54474,0.030000
151,21,1.55429,0.022750
152,21,1.55358,0.008250
153,21,1.56434,0.001000
154,21,1.56108,0.008250
155,21,1.57857,0.022750
156,21,1.59462,0.030000
157,21,1.57752,0.022750
158,21,1.59633,0.008250
159,21,1.58865,0.001000
160,21,1.59736,0.008250
161,21,1.60626,0.022750
162,21,1.62295,0.030000
163,21,1.60796,0.022750
164,21,1.63524,0.008250
165,21,1.62784,0.001000
166,21,1.62969,0.008250
167,21,1.63600,0.022750
168,21,1.64384,0.030000
169,21,1.68583,0.022750
170,21,1.69536,0.008250
171,21,1.70023,0.001000
172,21,1.70462,0.008250
173,21,1.69587,0.022750
174,21,1.68720,0.030000
175,21,1.69516,0.022750
176,21,1.73212,0.008250
177,21,1.70477,0.001000
178,21,1.71279,0.008250
179,21,1.72275,0.022750
180,21,1.72633,0.030000
181,21,1.75621,0.022750
182,21,1.75813,0.008250
183,21,1.75532,0.001000
184,21,1.75555,0.008250
185,21,1.74832,0.022750
186,21,1.76391,0.030000
187,21,1.75542,0.022750
188,21,1.77196,0.008250
189,21,1.77737,0.001000
190,21,1.77703,0.008250
191,21,1.79244,0.022750
192,21,1.78273,0.030000
193,21,1.82467,0.022750
194,21,1.81245,0.008250
195,21,1.80386,0.001000
196,21,1.80971,0.008250
197,21,1.81637,0.022750
198,21,1.83690,0.030000
199,21,1.83750,0.022750
200,21,1.84400,0.008250
1,21,1.43525,0.022750
2,21,1.50575,0.008250
3,21,1.61652,0.001000
4,21,1.58602,0.008250
5,21,2.18335,0.022750
6,21,2.70798,0.030000
7,21,3.06962,0.022750
8,21,2.16876,0.008250
9,21,2.54945,0.001000
10,21,2.39393,0.008250
11,21,2.38100,0.022750
12,21,2.21159,0.030000
13,21,1.83583,0.022750
14,21,1.97075,0.008250
15,21,2.00909,0.001000
16,21,1.94276,0.008250
17,21,2.16501,0.022750
18,21,1.78952,0.030000
19,21,1.81241,0.022750
20,21,1.69693,0.008250
21,21,1.71924,0.001000
22,21,1.79437,0.008250
23,21,1.78309,0.022750
24,21,1.77850,0.030000
25,21,1.88066,0.022750
26,21,1.88658,0.008250
27,21,1.86270,0.001000
28,21,1.86699,0.008250
29,21,1.83305,0.022750
30,21,1.86699,0.030000
31,21,1.72384,0.022750
32,21,1.78618,0.008250
33,21,1.73778,0.001000
34,21,1.77655,0.008250
35,21,1.81382,0.022750
36,21,1.79800,0.030000
37,21,1.76630,0.022750
38,21,1.76624,0.008250
39,21,1.76211,0.001000
40,21,1.76712,0.008250
41,21,1.70512,0.022750
42,21,1.67801,0.030000
43,21,1.77003,0.022750
44,21,1.64441,0.008250
45,21,1.64871,0.001000
46,21,1.66237,0.008250
47,21,1.68671,0.022750
48,21,1.65829,0.030000
49,21,1.67725,0.022750
50,21,1.62657,0.008250
51,21,1.62942,0.001000
52,21,1.63277,0.008250
53,21,1.66448,0.022750
54,21,1.58469,0.030000
55,21,1.69356,0.022750
56,21,1.57745,0.008250
57,21,1.60384,0.001000
58,21,1.60748,0.008250
59,21,1.60133,0.022750
60,21,1.59695,0.030000
61,21,1.61684,0.022750
62,21,1.59144,0.008250
63,21,1.56010,0.001000
64,21,1.57077,0.008250
65,21,1.55922,0.022750
66,21,1.56488,0.030000
67,21,1.54129,0.022750
68,21,1.53870,0.008250
69,21,1.54813,0.001000
70,21,1.54111,0.008250
71,21,1.54361,0.022750
72,21,1.55105,0.030000
73,21,1.55065,0.022750
74,21,1.54359,0.008250
75,21,1.54870,0.001000
76,21,1.54434,0.008250
77,21,1.56615,0.022750
78,21,1.54571,0.030000
79,21,1.58561,0.022750
80,21,1.53039,0.008250
81,21,1.58191,0.001000
82,21,1.56773,0.008250
83,21,1.57450,0.022750
84,21,1.55078,0.030000
85,21,1.54777,0.022750
86,21,1.53314,0.008250
87,21,1.55108,0.001000
88,21,1.55211,0.008250
89,21,1.53681,0.022750
90,21,1.53754,0.030000
91,21,1.50186,0.022750
92,21,1.55076,0.008250
93,21,1.55962,0.001000
94,21,1.54616,0.008250
95,21,1.53882,0.022750
96,21,1.56517,0.030000
97,21,1.55268,0.022750
98,21,1.52556,0.008250
99,21,1.53531,0.001000
100,21,1.53996,0.008250
101,21,1.55680,0.022750
102,21,1.53162,0.030000
103,21,1.54766,0.022750
104,21,1.56699,0.008250
105,21,1.55071,0.001000
106,21,1.56106,0.008250
107,21,1.54537,0.022750
108,21,1.54910,0.030000
109,21,1.52188,0.022750
110,21,1.49912,0.008250
111,21,1.53910,0.001000
112,21,1.50444,0.008250
113,21,1.55240,0.022750
114,21,1.51269,0.030000
115,21,1.49424,0.022750
116,21,1.44837,0.008250
117,21,1.46509,0.001000
118,21,1.47499,0.008250
119,21,1.45172,0.022750
120,21,1.50168,0.030000
121,21,1.46332,0.022750
122,21,1.47379,0.008250
123,21,1.47463,0.001000
124,21,1.47661,0.008250
125,21,1.46529,0.022750
126,21,1.46158,0.030000
127,21,1.48818,0.022750
128,21,1.46656,0.008250
129,21,1.45457,0.001000
130,21,1.45793,0.008250
131,21,1.45360,0.022750
132,21,1.46212,0.030000
133,21,1.48708,0.022750
134,21,1.44719,0.008250
135,21,1.45918,0.001000
136,21,1.45085,0.008250
137,21,1.45246,0.022750
138,21,1.45571,0.030000
139,21,1.43286,0.022750
140,21,1.45511,0.008250
141,21,1.43749,0.001000
142,21,1.43677,0.008250
143,21,1.43485,0.022750
144,21,1.41921,0.030000
145,21,1.45479,0.022750
146,21,1.44200,0.008250
147,21,1.44144,0.001000
148,21,1.44598,0.008250
149,21,1.43502,0.022750
150,21,1.44620,0.030000
151,21,1.43707,0.022750
152,21,1.43326,0.008250
153,21,1.42958,0.001000
154,21,1.43528,0.008250
155,21,1.43362,0.022750
156,21,1.43589,0.030000
157,21,1.43396,0.022750
158,21,1.42723,0.008250
159,21,1.43095,0.001000
160,21,1.42515,0.008250
161,21,1.42342,0.022750
162,21,1.40937,0.030000
163,21,1.42799,0.022750
164,21,1.43484,0.008250
165,21,1.43862,0.001000
166,21,1.43455,0.008250
