epoch,batch,loss,lr
1,12,1.01903,0.026672
2,12,0.91945,0.018217
3,12,0.71468,0.008515
4,12,0.89789,0.002018
5,12,0.67778,0.001710
6,12,0.65299,0.007731
7,12,0.77238,0.017317
8,12,1.35171,0.026070
9,12,1.36864,0.029971
10,12,1.56223,0.027231
11,12,0.94411,0.019106
12,12,0.65163,0.009326
13,12,0.64928,0.002380
14,12,0.65947,0.001456
15,12,0.66439,0.006977
16,12,0.68377,0.016410
17,12,1.47083,0.025426
18,12,0.92527,0.029886
19,12,1.14437,0.027743
20,12,0.72443,0.019981
21,12,0.73523,0.010162
22,12,1.11240,0.002794
23,12,1.26796,0.001257
24,12,0.79417,0.006257
25,12,1.01014,0.015500
26,12,0.96526,0.024743
27,12,1.16115,0.029743
28,12,2.53485,0.028206
29,12,1.28726,0.020838
30,12,1.48105,0.011019
31,12,1.67770,0.003257
32,12,1.35107,0.001114
33,12,1.91093,0.005574
34,12,1.83921,0.014590
35,12,1.00100,0.024023
36,12,1.32148,0.029544
37,12,1.57061,0.028620
38,12,1.45007,0.021674
39,12,1.33635,0.011894
40,12,1.50034,0.003769
41,12,0.98645,0.001029
42,12,1.52369,0.004930
43,12,1.02103,0.013683
44,12,1.07229,0.023269
45,12,2.16842,0.029290
46,12,1.13629,0.028982
47,12,1.75364,0.022485
48,12,1.09672,0.012783
49,12,0.96364,0.004328
50,12,1.55595,0.001000
51,12,1.68215,0.004328
52,12,1.00534,0.012783
53,12,1.03902,0.022485
54,12,1.26103,0.028982
55,12,1.04797,0.029290
56,12,1.08981,0.023269
57,12,1.26730,0.013683
58,12,1.83896,0.004930
59,12,1.40313,0.001029
60,12,1.27261,0.003769
61,12,2.16438,0.011894
62,12,2.13340,0.021674
63,12,1.91907,0.028620
64,12,1.19785,0.029544
65,12,1.50751,0.024023
66,12,1.30498,0.014590
67,12,1.86946,0.005574
68,12,1.87838,0.001114
69,12,1.08097,0.003257
70,12,1.63104,0.011019
71,12,1.26249,0.020838
72,12,1.26427,0.028206
73,12,1.29389,0.029743
74,12,1.38698,0.024743
75,12,1.18618,0.015500
76,12,2.68963,0.006257
77,12,1.48379,0.001257
78,12,1.35179,0.002794
79,12,1.44828,0.010162
80,12,1.92932,0.019981
81,12,1.10564,0.027743
82,12,1.16423,0.029886
83,12,1.17555,0.025426
84,12,1.95878,0.016410
85,12,0.99363,0.006977
86,12,1.38780,0.001456
87,12,1.05064,0.002380
88,12,1.49340,0.009326
89,12,1.70300,0.019106
90,12,1.21539,0.027231
91,12,1.33436,0.029971
92,12,1.52922,0.026070
93,12,1.27553,0.017317
94,12,1.16673,0.007731
95,12,1.47535,0.001710
96,12,1.27650,0.002018
97,12,1.04276,0.008515
98,12,1.80793,0.018217
99,12,1.12069,0.026672
100,12,1.35922,0.030000
101,12,1.96737,0.026672
102,12,1.69423,0.018217
103,12,1.76536,0.008515
104,12,1.31070,0.002018
105,12,1.03268,0.001710
106,12,1.13342,0.007731
107,12,1.08908,0.017317
108,12,1.30713,0.026070
109,12,1.08632,0.029971
110,12,1.16988,0.027231
111,12,0.83239,0.019106
112,12,1.83426,0.009326
113,12,1.87224,0.002380
114,12,1.06773,0.001456
115,12,0.97988,0.006977
116,12,0.99048,0.016410
117,12,1.37136,0.025426
118,12,1.03064,0.029886
119,12,1.22311,0.027743
120,12,0.98622,0.019981
121,12,1.20211,0.010162
122,12,1.28609,0.002794
123,12,1.23358,0.001257
124,12,0.87868,0.006257
125,12,1.51707,0.015500
126,12,1.11023,0.024743
127,12,1.36402,0.029743
128,12,0.91199,0.028206
129,12,1.21786,0.020838
130,12,2.03079,0.011019
131,12,1.20275,0.003257
132,12,2.12180,0.001114
133,12,1.05431,0.005574
134,12,0.98891,0.014590
135,12,1.08520,0.024023
136,12,1.15614,0.029544
137,12,1.07579,0.028620
138,12,1.28534,0.021674
139,12,1.67069,0.011894
140,12,0.99620,0.003769
141,12,1.13641,0.001029
142,12,1.46908,0.004930
143,12,1.04323,0.013683
144,12,1.07778,0.023269
145,12,1.80823,0.029290
146,12,1.40269,0.028982
147,12,2.07178,0.022485
148,12,1.09635,0.012783
149,12,2.06400,0.004328
150,12,1.27145,0.001000
151,12,1.19969,0.004328
152,12,0.99820,0.012783
153,12,1.34236,0.022485
154,12,0.93873,0.028982
155,12,1.09606,0.029290
156,12,0.91871,0.023269
157,12,0.82482,0.013683
158,12,1.35171,0.004930
159,12,2.04023,0.001029
