epoch,batch,loss,lr
1,3,0.82459,0.029859
2,3,0.76200,0.029438
3,3,0.75375,0.028746
4,3,0.79115,0.027797
5,3,0.81108,0.026608
6,3,0.84133,0.025202
7,3,0.83626,0.023608
8,3,0.82673,0.021856
9,3,0.88691,0.019981
10,3,1.41758,0.018018
11,3,2.20317,0.016006
12,3,1.91220,0.013984
13,3,1.36025,0.011992
14,3,1.07808,0.010068
15,3,0.96932,0.008250
16,3,0.97850,0.006573
17,3,1.01147,0.005070
18,3,1.03492,0.003769
19,3,1.08557,0.002697
20,3,1.12507,0.001874
21,3,1.13983,0.001317
22,3,1.15015,0.001035
23,3,1.15593,0.001035
24,3,1.15938,0.001317
25,3,1.15452,0.001874
26,3,1.14381,0.002697
27,3,1.14729,0.003769
28,3,1.17627,0.005070
29,3,1.29082,0.006573
30,3,1.62215,0.008250
31,3,2.08573,0.010068
32,3,2.21343,0.011992
33,3,2.34189,0.013984
34,3,1.71635,0.016006
35,3,1.29500,0.018018
36,3,1.31746,0.019981
37,3,1.34014,0.021856
38,3,1.16572,0.023608
39,3,1.09402,0.025202
40,3,1.17590,0.026608
41,3,1.16627,0.027797
42,3,1.79932,0.028746
43,3,5.44934,0.029438
44,3,2.33469,0.029859
45,3,1.68763,0.030000
46,3,4.08349,0.029859
47,3,2.78160,0.029438
48,3,1.79697,0.028746
49,3,1.81916,0.027797
50,3,2.71171,0.026608
51,3,4.29869,0.025202
52,3,3.31608,0.023608
53,3,2.26546,0.021856
54,3,1.56304,0.019981
55,3,1.05491,0.018018
56,3,0.82869,0.016006
57,3,0.78190,0.013984
58,3,0.78112,0.011992
59,3,0.78914,0.010068
60,3,0.83488,0.008250
61,3,0.91326,0.006573
62,3,0.98494,0.005070
63,3,1.03092,0.003769
64,3,1.04669,0.002697
65,3,1.04059,0.001874
66,3,1.02539,0.001317
67,3,1.01320,0.001035
68,3,1.00980,0.001035
69,3,1.00805,0.001317
70,3,0.99883,0.001874
71,3,0.99322,0.002697
72,3,0.98477,0.003769
73,3,0.95876,0.005070
74,3,0.91951,0.006573
75,3,0.88069,0.008250
76,3,0.86659,0.010068
77,3,0.86114,0.011992
78,3,0.87449,0.013984
79,3,0.95142,0.016006
80,3,1.13191,0.018018
81,3,1.19906,0.019981
82,3,0.95767,0.021856
83,3,0.79371,0.023608
84,3,0.82582,0.025202
85,3,0.84326,0.026608
86,3,0.85204,0.027797
87,3,1.38560,0.028746
88,3,7.52769,0.029438
89,3,2.90062,0.029859
90,3,4.16158,0.030000
91,3,3.37403,0.029859
92,3,1.45127,0.029438
93,3,2.01037,0.028746
94,3,2.33850,0.027797
95,3,2.19793,0.026608
96,3,2.18428,0.025202
97,3,2.33487,0.023608
98,3,1.37889,0.021856
99,3,1.35574,0.019981
100,3,1.19874,0.018018
101,3,1.07774,0.016006
102,3,1.07201,0.013984
103,3,1.13029,0.011992
104,3,1.15358,0.010068
105,3,1.16387,0.008250
106,3,1.14063,0.006573
107,3,1.11151,0.005070
108,3,1.03342,0.003769
109,3,0.95769,0.002697
110,3,0.92074,0.001874
111,3,0.90562,0.001317
112,3,0.89988,0.001035
113,3,0.89434,0.001035
114,3,0.88827,0.001317
115,3,0.88059,0.001874
116,3,0.86879,0.002697
117,3,0.86228,0.003769
118,3,0.86055,0.005070
119,3,0.86644,0.006573
120,3,0.88379,0.008250
121,3,0.91216,0.010068
122,3,1.03489,0.011992
123,3,1.34666,0.013984
124,3,1.69714,0.016006
125,3,1.67835,0.018018
126,3,1.33612,0.019981
127,3,0.97282,0.021856
128,3,0.77698,0.023608
129,3,0.74225,0.025202
130,3,0.76197,0.026608
131,3,0.73058,0.027797
132,3,0.76157,0.028746
133,3,0.77740,0.029438
134,3,0.74393,0.029859
135,3,0.78456,0.030000
136,3,0.87252,0.029859
137,3,0.74445,0.029438
138,3,0.99578,0.028746
139,3,1.05321,0.027797
140,3,1.13273,0.026608
141,3,1.24049,0.025202
142,3,1.23935,0.023608
143,3,1.05264,0.021856
144,3,0.86717,0.019981
145,3,0.81554,0.018018
146,3,0.81637,0.016006
147,3,0.81259,0.013984
148,3,0.80308,0.011992
149,3,0.79999,0.010068
150,3,0.80314,0.008250
151,3,0.80815,0.006573
152,3,0.81534,0.005070
153,3,0.82263,0.003769
154,3,0.82894,0.002697
155,3,0.83130,0.001874
156,3,0.83392,0.001317
157,3,0.83838,0.001035
158,3,0.84300,0.001035
159,3,0.84801,0.001317
160,3,0.85469,0.001874
161,3,0.86195,0.002697
162,3,0.86672,0.003769
163,3,0.86615,0.005070
164,3,0.87447,0.006573
165,3,0.89438,0.008250
166,3,0.91154,0.010068
167,3,0.96262,0.011992
168,3,1.09681,0.013984
169,3,1.23771,0.016006
170,3,1.27080,0.018018
171,3,1.21513,0.019981
172,3,1.06997,0.021856
173,3,0.93378,0.023608
174,3,0.92758,0.025202
175,3,0.99073,0.026608
176,3,1.05678,0.027797
177,3,1.12372,0.028746
178,3,1.17282,0.029438
179,3,1.22794,0.029859
180,3,1.28552,0.030000
181,3,1.27120,0.029859
182,3,1.20820,0.029438
183,3,1.14352,0.028746
184,3,1.03803,0.027797
185,3,1.08007,0.026608
186,3,1.39206,0.025202
187,3,1.65262,0.023608
188,3,1.55139,0.021856
189,3,1.34981,0.019981
190,3,1.15018,0.018018
191,3,0.96615,0.016006
192,3,0.87826,0.013984
193,3,0.86676,0.011992
194,3,0.89419,0.010068
195,3,0.93204,0.008250
196,3,0.95785,0.006573
197,3,0.96527,0.005070
198,3,0.96460,0.003769
199,3,0.95982,0.002697
200,3,0.95390,0.001874
1,3,1.27310,0.029859
2,3,1.30763,0.029438
3,3,1.30762,0.028746
4,3,1.34325,0.027797
5,3,1.37708,0.026608
6,3,1.43403,0.025202
7,3,1.57637,0.023608
8,3,1.79943,0.021856
9,3,1.93869,0.019981
10,3,2.00796,0.018018
11,3,2.14872,0.016006
12,3,2.19287,0.013984
13,3,2.15210,0.011992
14,3,2.04405,0.010068
15,3,1.91833,0.008250
16,3,1.77786,0.006573
17,3,1.63751,0.005070
18,3,1.55191,0.003769
19,3,1.49141,0.002697
20,3,1.44791,0.001874
21,3,1.42653,0.001317
22,3,1.41668,0.001035
23,3,1.41477,0.001035
24,3,1.41569,0.001317
25,3,1.41618,0.001874
26,3,1.41859,0.002697
27,3,1.42209,0.003769
28,3,1.43424,0.005070
29,3,1.47006,0.006573
30,3,1.52750,0.008250
31,3,1.60512,0.010068
32,3,1.73249,0.011992
33,3,1.95086,0.013984
34,3,2.20328,0.016006
35,3,2.44294,0.018018
36,3,2.54473,0.019981
37,3,2.17778,0.021856
38,3,1.90835,0.023608
39,3,1.75266,0.025202
40,3,1.68353,0.026608
41,3,1.70933,0.027797
42,3,1.94177,0.028746
43,3,1.83406,0.029438
44,3,1.57449,0.029859
45,3,1.56004,0.030000
46,3,1.62651,0.029859
47,3,1.76606,0.029438
48,3,1.83578,0.028746
49,3,1.78687,0.027797
50,3,1.65650,0.026608
51,3,1.72550,0.025202
52,3,2.02233,0.023608
53,3,1.88258,0.021856
54,3,1.98891,0.019981
55,3,2.34186,0.018018
56,3,2.33728,0.016006
57,3,2.12993,0.013984
58,3,1.87731,0.011992
59,3,1.66768,0.010068
60,3,1.55739,0.008250
61,3,1.53424,0.006573
62,3,1.55147,0.005070
63,3,1.57840,0.003769
64,3,1.60436,0.002697
65,3,1.61438,0.001874
66,3,1.62117,0.001317
67,3,1.63158,0.001035
68,3,1.64107,0.001035
69,3,1.64821,0.001317
70,3,1.65853,0.001874
71,3,1.66914,0.002697
72,3,1.68652,0.003769
