epoch,batch,loss,lr
1,9,0.85749,0.028746
2,9,0.86675,0.025202
3,9,0.92965,0.019981
4,9,0.95610,0.013984
5,9,0.94148,0.008250
6,9,0.94610,0.003769
7,9,0.94255,0.001317
8,9,0.93998,0.001317
9,9,0.94040,0.003769
10,9,0.95076,0.008250
11,9,0.95436,0.013984
12,9,0.93779,0.019981
13,9,0.91037,0.025202
14,9,0.95867,0.028746
15,9,0.98935,0.030000
16,9,0.94161,0.028746
17,9,0.94306,0.025202
18,9,0.96058,0.019981
19,9,0.94023,0.013984
20,9,0.94725,0.008250
21,9,0.95096,0.003769
22,9,0.94744,0.001317
23,9,0.94785,0.001317
24,9,0.94867,0.003769
25,9,0.95586,0.008250
26,9,0.98458,0.013984
27,9,0.95968,0.019981
28,9,0.97851,0.025202
29,9,0.99518,0.028746
30,9,0.99617,0.030000
31,9,1.03218,0.028746
32,9,0.96977,0.025202
33,9,1.03568,0.019981
34,9,1.04079,0.013984
35,9,1.04460,0.008250
36,9,1.04237,0.003769
37,9,1.04425,0.001317
38,9,1.04205,0.001317
39,9,1.04168,0.003769
40,9,1.04334,0.008250
41,9,1.02012,0.013984
42,9,1.04405,0.019981
43,9,1.07786,0.025202
44,9,0.97812,0.028746
45,9,1.07325,0.030000
46,9,1.10001,0.028746
47,9,1.09356,0.025202
48,9,1.05030,0.019981
49,9,1.04072,0.013984
50,9,1.08468,0.008250
51,9,1.10997,0.003769
52,9,1.10587,0.001317
53,9,1.10071,0.001317
54,9,1.09019,0.003769
55,9,1.06831,0.008250
56,9,1.07725,0.013984
57,9,1.11203,0.019981
58,9,1.03831,0.025202
59,9,1.05153,0.028746
60,9,1.09765,0.030000
61,9,1.02650,0.028746
62,9,1.06418,0.025202
63,9,1.08891,0.019981
64,9,1.05946,0.013984
65,9,1.03875,0.008250
66,9,1.04129,0.003769
67,9,1.05211,0.001317
68,9,1.05489,0.001317
69,9,1.04980,0.003769
70,9,1.04214,0.008250
71,9,1.03524,0.013984
72,9,1.08695,0.019981
73,9,1.07515,0.025202
