epoch,batch,loss,lr
1,12,0.93770,0.026672
2,12,0.63309,0.018217
3,12,0.67797,0.008515
4,12,0.64172,0.002018
5,12,1.00347,0.001710
6,12,0.69227,0.007731
7,12,0.71612,0.017317
8,12,0.87776,0.026070
9,12,0.87607,0.029971
10,12,0.71200,0.027231
11,12,0.62502,0.019106
12,12,0.90917,0.009326
13,12,0.91108,0.002380
14,12,1.12260,0.001456
15,12,0.63795,0.006977
16,12,0.74410,0.016410
17,12,0.62390,0.025426
18,12,0.71953,0.029886
19,12,1.04058,0.027743
20,12,0.78694,0.019981
21,12,1.02468,0.010162
22,12,0.67784,0.002794
23,12,0.98245,0.001257
24,12,0.87444,0.006257
25,12,0.77327,0.015500
26,12,0.64367,0.024743
27,12,0.91209,0.029743
28,12,0.95811,0.028206
29,12,0.99436,0.020838
30,12,0.99563,0.011019
31,12,1.22736,0.003257
32,12,0.76079,0.001114
33,12,0.72314,0.005574
34,12,0.76898,0.014590
35,12,0.85796,0.024023
36,12,0.90006,0.029544
37,12,0.59804,0.028620
38,12,0.69905,0.021674
39,12,1.02905,0.011894
40,12,1.00048,0.003769
41,12,0.96412,0.001029
42,12,0.94516,0.004930
43,12,0.95198,0.013683
44,12,0.64422,0.023269
45,12,0.87457,0.029290
46,12,1.10279,0.028982
47,12,0.69844,0.022485
48,12,0.64142,0.012783
49,12,1.21177,0.004328
50,12,0.66578,0.001000
51,12,0.71094,0.004328
52,12,1.07514,0.012783
53,12,0.85825,0.022485
54,12,1.12568,0.028982
55,12,0.84186,0.029290
56,12,0.64361,0.023269
57,12,0.73047,0.013683
58,12,0.71264,0.004930
59,12,0.79047,0.001029
60,12,0.72506,0.003769
61,12,0.71854,0.011894
62,12,0.98308,0.021674
63,12,0.64729,0.028620
64,12,0.71071,0.029544
65,12,0.92832,0.024023
66,12,1.00722,0.014590
67,12,1.30458,0.005574
68,12,0.83669,0.001114
69,12,0.74417,0.003257
70,12,1.02139,0.011019
71,12,1.01409,0.020838
72,12,0.74786,0.028206
73,12,0.89249,0.029743
74,12,0.88847,0.024743
75,12,0.80993,0.015500
76,12,0.83387,0.006257
77,12,0.91790,0.001257
78,12,0.88215,0.002794
79,12,0.68247,0.010162
80,12,0.78794,0.019981
81,12,0.83285,0.027743
82,12,0.94334,0.029886
83,12,1.03098,0.025426
84,12,0.87331,0.016410
85,12,1.01151,0.006977
86,12,1.09782,0.001456
87,12,0.90891,0.002380
88,12,0.89547,0.009326
89,12,0.88197,0.019106
90,12,1.10775,0.027231
91,12,0.87858,0.029971
92,12,0.92126,0.026070
93,12,0.93209,0.017317
94,12,1.27063,0.007731
95,12,0.82732,0.001710
96,12,0.99624,0.002018
97,12,1.29524,0.008515
98,12,0.90495,0.018217
99,12,0.83368,0.026672
100,12,1.18044,0.030000
101,12,0.93587,0.026672
102,12,0.76518,0.018217
103,12,0.77452,0.008515
104,12,0.75944,0.002018
105,12,1.24266,0.001710
106,12,0.87099,0.007731
107,12,0.90574,0.017317
108,12,0.77417,0.026070
109,12,0.87448,0.029971
110,12,0.80752,0.027231
111,12,1.11437,0.019106
112,12,0.95662,0.009326
113,12,0.93658,0.002380
114,12,1.19884,0.001456
115,12,0.78794,0.006977
116,12,1.00199,0.016410
117,12,0.89404,0.025426
118,12,0.69558,0.029886
119,12,0.79757,0.027743
120,12,0.90930,0.019981
121,12,0.78784,0.010162
122,12,0.92109,0.002794
123,12,0.86440,0.001257
124,12,0.76496,0.006257
125,12,0.86478,0.015500
126,12,0.75460,0.024743
127,12,0.81575,0.029743
128,12,0.71808,0.028206
129,12,0.76244,0.020838
130,12,0.74192,0.011019
131,12,1.04935,0.003257
132,12,0.87932,0.001114
133,12,0.82850,0.005574
134,12,1.24782,0.014590
135,12,0.80301,0.024023
136,12,1.02892,0.029544
137,12,1.07659,0.028620
138,12,1.05426,0.021674
139,12,0.95857,0.011894
140,12,0.88198,0.003769
141,12,0.67465,0.001029
142,12,0.85005,0.004930
143,12,0.81331,0.013683
144,12,1.01935,0.023269
145,12,1.04780,0.029290
146,12,1.18473,0.028982
147,12,0.73958,0.022485
148,12,1.01705,0.012783
149,12,0.71008,0.004328
150,12,0.95305,0.001000
151,12,0.96963,0.004328
152,12,0.91565,0.012783
153,12,1.24545,0.022485
154,12,0.91958,0.028982
155,12,1.05310,0.029290
156,12,0.75844,0.023269
157,12,0.87439,0.013683
158,12,1.10990,0.004930
159,12,0.84260,0.001029
160,12,0.83877,0.003769
161,12,0.67106,0.011894
162,12,1.16718,0.021674
163,12,0.86731,0.028620
164,12,1.28291,0.029544
165,12,0.91383,0.024023
166,12,0.86789,0.014590
167,12,0.87439,0.005574
168,12,0.90319,0.001114
169,12,0.97264,0.003257
170,12,0.77461,0.011019
171,12,1.20875,0.020838
172,12,1.20971,0.028206
173,12,0.76880,0.029743
174,12,1.08156,0.024743
175,12,0.86861,0.015500
176,12,0.85092,0.006257
177,12,1.01762,0.001257
178,12,0.78529,0.002794
179,12,1.29376,0.010162
180,12,0.66962,0.019981
181,12,1.09629,0.027743
182,12,0.73716,0.029886
183,12,0.94019,0.025426
184,12,0.70649,0.016410
185,12,1.04096,0.006977
186,12,0.78386,0.001456
187,12,0.84069,0.002380
188,12,1.29887,0.009326
189,12,1.03683,0.019106
190,12,1.15032,0.027231
191,12,1.12327,0.029971
192,12,1.50034,0.026070
193,12,0.69940,0.017317
194,12,1.59932,0.007731
195,12,1.25748,0.001710
196,12,1.19257,0.002018
197,12,0.92185,0.008515
198,12,1.35222,0.018217
199,12,0.79866,0.026672
200,12,0.96602,0.030000
1,12,1.03698,0.026672
2,12,1.02589,0.018217
3,12,1.13148,0.008515
4,12,1.30825,0.002018
5,12,1.94291,0.001710
6,12,2.17012,0.007731
7,12,1.04460,0.017317
8,12,0.90243,0.026070
9,12,1.03791,0.029971
10,12,1.73604,0.027231
11,12,1.03350,0.019106
12,12,0.86153,0.009326
13,12,1.24452,0.002380
14,12,0.95076,0.001456
15,12,1.54302,0.006977
16,12,0.99774,0.016410
17,12,1.09383,0.025426
18,12,1.59115,0.029886
19,12,1.16237,0.027743
20,12,1.12713,0.019981
21,12,1.19985,0.010162
22,12,1.10720,0.002794
23,12,1.67213,0.001257
24,12,1.14430,0.006257
25,12,1.10540,0.015500
26,12,1.18341,0.024743
27,12,1.59672,0.029743
28,12,0.96640,0.028206
29,12,0.89102,0.020838
30,12,1.17116,0.011019
31,12,1.16142,0.003257
32,12,1.28271,0.001114
33,12,1.22080,0.005574
34,12,1.00456,0.014590
35,12,1.53125,0.024023
36,12,1.06838,0.029544
37,12,1.52101,0.028620
38,12,1.04560,0.021674
39,12,1.47257,0.011894
40,12,0.98338,0.003769
41,12,2.25537,0.001029
42,12,1.03789,0.004930
43,12,1.01368,0.013683
44,12,2.36356,0.023269
45,12,1.00371,0.029290
46,12,1.06230,0.028982
47,12,1.68738,0.022485
48,12,1.19091,0.012783
49,12,1.13555,0.004328
50,12,0.99702,0.001000
51,12,1.07456,0.004328
52,12,1.30357,0.012783
53,12,1.12163,0.022485
54,12,0.95560,0.028982
55,12,1.27363,0.029290
56,12,1.62537,0.023269
57,12,1.12911,0.013683
58,12,1.35386,0.004930
59,12,1.03338,0.001029
60,12,1.48974,0.003769
61,12,0.89440,0.011894
62,12,1.17996,0.021674
63,12,2.07918,0.028620
64,12,1.15307,0.029544
65,12,1.05596,0.024023
66,12,1.18951,0.014590
67,12,1.37954,0.005574
68,12,1.02207,0.001114
69,12,1.91365,0.003257
70,12,1.44006,0.011019
71,12,1.11109,0.020838
72,12,1.32651,0.028206
73,12,1.06530,0.029743
74,12,1.20040,0.024743
75,12,1.14473,0.015500
76,12,1.21431,0.006257
77,12,1.15481,0.001257
78,12,1.00786,0.002794
79,12,1.00546,0.010162
80,12,1.69594,0.019981
81,12,1.28539,0.027743
82,12,1.06233,0.029886
83,12,1.41965,0.025426
84,12,1.20154,0.016410
85,12,1.14422,0.006977
86,12,1.96808,0.001456
87,12,1.21355,0.002380
88,12,1.17020,0.009326
89,12,1.82234,0.019106
90,12,1.56350,0.027231
91,12,0.96660,0.029971
92,12,1.32592,0.026070
93,12,1.92073,0.017317
94,12,1.68259,0.007731
95,12,0.98418,0.001710
96,12,1.39438,0.002018
97,12,1.19971,0.008515
98,12,1.01726,0.018217
99,12,1.82237,0.026672
100,12,2.08554,0.030000
101,12,1.17644,0.026672
102,12,1.55941,0.018217
103,12,0.99074,0.008515
104,12,1.10250,0.002018
105,12,1.17287,0.001710
106,12,0.97573,0.007731
107,12,1.04584,0.017317
108,12,1.28882,0.026070
109,12,1.14955,0.029971
110,12,1.25168,0.027231
111,12,1.16248,0.019106
112,12,1.12029,0.009326
113,12,1.01280,0.002380
114,12,1.36616,0.001456
115,12,1.10355,0.006977
116,12,1.75578,0.016410
117,12,1.33381,0.025426
118,12,1.20382,0.029886
119,12,1.52205,0.027743
120,12,1.42864,0.019981
121,12,1.00120,0.010162
122,12,1.29360,0.002794
123,12,1.62359,0.001257
124,12,1.23272,0.006257
125,12,1.21787,0.015500
126,12,1.92895,0.024743
127,12,1.56656,0.029743
128,12,1.31197,0.028206
129,12,1.08913,0.020838
130,12,1.76433,0.011019
131,12,1.53874,0.003257
132,12,1.11674,0.001114
133,12,1.19672,0.005574
134,12,1.49939,0.014590
135,12,1.32652,0.024023
136,12,1.63685,0.029544
137,12,1.75612,0.028620
138,12,0.98870,0.021674
139,12,1.34281,0.011894
140,12,1.48011,0.003769
141,12,1.30669,0.001029
142,12,1.65270,0.004930
143,12,1.77644,0.013683
144,12,1.44030,0.023269
145,12,1.13465,0.029290
146,12,1.20021,0.028982
147,12,1.58551,0.022485
148,12,1.40626,0.012783
149,12,2.01918,0.004328
150,12,1.33058,0.001000
151,12,1.38108,0.004328
152,12,1.49596,0.012783
153,12,1.06926,0.022485
154,12,1.06503,0.028982
155,12,0.84204,0.029290
156,12,1.04905,0.023269
157,12,1.11998,0.013683
158,12,1.15671,0.004930
159,12,1.71804,0.001029
160,12,2.19044,0.003769
161,12,1.15640,0.011894
162,12,1.09287,0.021674
163,12,1.63981,0.028620
164,12,1.77401,0.029544
165,12,1.19792,0.024023
166,12,1.36367,0.014590
167,12,1.32563,0.005574
168,12,1.56208,0.001114
169,12,1.06338,0.003257
170,12,1.32858,0.011019
171,12,1.05629,0.020838
172,12,1.52911,0.028206
173,12,1.81951,0.029743
174,12,1.36723,0.024743
175,12,1.32030,0.015500
176,12,1.34262,0.006257
177,12,1.61152,0.001257
178,12,1.33010,0.002794
179,12,1.19332,0.010162
180,12,1.09554,0.019981
181,12,1.31969,0.027743
182,12,1.47962,0.029886
183,12,1.12857,0.025426
184,12,1.54362,0.016410
185,12,1.16161,0.006977
186,12,2.24885,0.001456
187,12,1.34643,0.002380
188,12,1.05176,0.009326
189,12,1.15890,0.019106
190,12,1.46001,0.027231
191,12,1.45480,0.029971
192,12,1.49620,0.026070
193,12,1.67894,0.017317
194,12,1.10740,0.007731
195,12,1.19266,0.001710
196,12,1.13820,0.002018
197,12,1.40052,0.008515
198,12,1.24012,0.018217
199,12,1.62982,0.026672
200,12,1.25131,0.030000
1,12,0.70819,0.026672
2,12,1.20069,0.018217
3,12,0.65012,0.008515
4,12,0.67870,0.002018
5,12,0.49182,0.001710
6,12,0.73793,0.007731
7,12,0.66535,0.017317
8,12,0.78305,0.026070
9,12,0.52418,0.029971
10,12,0.65623,0.027231
11,12,0.88592,0.019106
12,12,0.65325,0.009326
13,12,0.57608,0.002380
14,12,1.32629,0.001456
15,12,0.65450,0.006977
16,12,0.60163,0.016410
17,12,0.55037,0.025426
18,12,0.81273,0.029886
19,12,0.65465,0.027743
20,12,0.79669,0.019981
21,12,0.67168,0.010162
22,12,0.60121,0.002794
23,12,1.17521,0.001257
24,12,0.65710,0.006257
25,12,0.62522,0.015500
26,12,0.72648,0.024743
27,12,0.66610,0.029743
28,12,0.66652,0.028206
29,12,1.26261,0.020838
30,12,0.60871,0.011019
31,12,0.59622,0.003257
32,12,0.61387,0.001114
33,12,0.62148,0.005574
34,12,0.80626,0.014590
35,12,0.85473,0.024023
36,12,1.26981,0.029544
37,12,0.58586,0.028620
38,12,0.68023,0.021674
39,12,0.77944,0.011894
40,12,0.69829,0.003769
41,12,0.67667,0.001029
42,12,0.66029,0.004930
43,12,0.70317,0.013683
44,12,0.85948,0.023269
45,12,0.80055,0.029290
46,12,0.71423,0.028982
47,12,0.81400,0.022485
48,12,0.59809,0.012783
49,12,0.58409,0.004328
50,12,0.80375,0.001000
51,12,0.52512,0.004328
52,12,0.69760,0.012783
53,12,0.55809,0.022485
54,12,0.65523,0.028982
55,12,0.84441,0.029290
56,12,0.61504,0.023269
57,12,0.63205,0.013683
58,12,0.71031,0.004930
59,12,0.72283,0.001029
60,12,0.72105,0.003769
61,12,1.36658,0.011894
62,12,0.72307,0.021674
63,12,0.95269,0.028620
64,12,1.25351,0.029544
65,12,0.94521,0.024023
66,12,0.56480,0.014590
67,12,0.80660,0.005574
68,12,0.69544,0.001114
69,12,0.84036,0.003257
70,12,0.62135,0.011019
71,12,0.74936,0.020838
72,12,0.88321,0.028206
73,12,0.70200,0.029743
74,12,1.20266,0.024743
75,12,0.74320,0.015500
76,12,0.59683,0.006257
77,12,0.61064,0.001257
78,12,0.74254,0.002794
79,12,0.52739,0.010162
80,12,0.67428,0.019981
81,12,0.61162,0.027743
82,12,0.74273,0.029886
83,12,0.63164,0.025426
84,12,0.59980,0.016410
85,12,0.68997,0.006977
86,12,1.27211,0.001456
87,12,0.69535,0.002380
88,12,0.60357,0.009326
89,12,0.58910,0.019106
90,12,0.87614,0.027231
91,12,0.77820,0.029971
92,12,0.72474,0.026070
93,12,0.83360,0.017317
94,12,0.69169,0.007731
95,12,0.64575,0.001710
96,12,0.85990,0.002018
97,12,0.66925,0.008515
98,12,0.64744,0.018217
99,12,1.36059,0.026672
100,12,0.83420,0.030000
101,12,1.34904,0.026672
102,12,1.36033,0.018217
103,12,0.71523,0.008515
104,12,0.77007,0.002018
105,12,0.68012,0.001710
106,12,0.74994,0.007731
107,12,0.68324,0.017317
108,12,0.65999,0.026070
109,12,0.75989,0.029971
110,12,1.39000,0.027231
111,12,0.81457,0.019106
112,12,0.60400,0.009326
113,12,0.79261,0.002380
114,12,0.76364,0.001456
115,12,0.86273,0.006977
116,12,0.66272,0.016410
117,12,0.65129,0.025426
118,12,1.14080,0.029886
119,12,0.80204,0.027743
120,12,0.63151,0.019981
121,12,0.78620,0.010162
122,12,0.81114,0.002794
123,12,1.37400,0.001257
124,12,0.88819,0.006257
125,12,0.73617,0.015500
126,12,0.93213,0.024743
127,12,0.75040,0.029743
128,12,0.75003,0.028206
129,12,0.79808,0.020838
130,12,1.01267,0.011019
131,12,1.45910,0.003257
132,12,0.71248,0.001114
133,12,1.39545,0.005574
134,12,0.91836,0.014590
135,12,0.72876,0.024023
136,12,0.61952,0.029544
137,12,0.75118,0.028620
138,12,0.76204,0.021674
139,12,0.71038,0.011894
140,12,0.85387,0.003769
141,12,0.66535,0.001029
142,12,0.84016,0.004930
143,12,0.74896,0.013683
144,12,0.85879,0.023269
145,12,0.81081,0.029290
146,12,0.65836,0.028982
147,12,0.79660,0.022485
148,12,0.69179,0.012783
149,12,0.65759,0.004328
150,12,1.41659,0.001000
151,12,0.84566,0.004328
152,12,0.95942,0.012783
153,12,0.81566,0.022485
154,12,1.00651,0.028982
155,12,0.79629,0.029290
156,12,1.35711,0.023269
157,12,0.67653,0.013683
158,12,0.91927,0.004930
159,12,0.97679,0.001029
160,12,0.70027,0.003769
161,12,0.66110,0.011894
162,12,0.77630,0.021674
163,12,0.73533,0.028620
164,12,1.05088,0.029544
165,12,0.77688,0.024023
166,12,0.78135,0.014590
167,12,0.82536,0.005574
168,12,0.67414,0.001114
169,12,0.78024,0.003257
170,12,0.81046,0.011019
171,12,0.83791,0.020838
172,12,0.72125,0.028206
173,12,1.06860,0.029743
174,12,0.75643,0.024743
175,12,0.70871,0.015500
176,12,0.80648,0.006257
177,12,0.82664,0.001257
178,12,0.84664,0.002794
179,12,0.69058,0.010162
180,12,0.86211,0.019981
181,12,0.80502,0.027743
182,12,0.77710,0.029886
183,12,0.85373,0.025426
184,12,0.83963,0.016410
185,12,0.72279,0.006977
186,12,1.03231,0.001456
187,12,0.88543,0.002380
188,12,0.69429,0.009326
189,12,0.69150,0.019106
190,12,0.88163,0.027231
191,12,1.11024,0.029971
192,12,0.72235,0.026070
193,12,1.77417,0.017317
194,12,0.99332,0.007731
195,12,0.79139,0.001710
196,12,0.99561,0.002018
197,12,0.79683,0.008515
198,12,0.98183,0.018217
199,12,0.75963,0.026672
200,12,0.70707,0.030000
1,12,0.66789,0.026672
2,12,0.59029,0.018217
3,12,0.50043,0.008515
4,12,0.55887,0.002018
5,12,0.49731,0.001710
6,12,0.54898,0.007731
7,12,0.71645,0.017317
8,12,0.48016,0.026070
9,12,0.45512,0.029971
10,12,0.74628,0.027231
11,12,0.61961,0.019106
12,12,0.45807,0.009326
13,12,0.48191,0.002380
14,12,0.42331,0.001456
15,12,0.57228,0.006977
16,12,0.44156,0.016410
17,12,0.58320,0.025426
18,12,0.61544,0.029886
19,12,0.45395,0.027743
20,12,0.58708,0.019981
21,12,0.45410,0.010162
22,12,0.86856,0.002794
23,12,0.49341,0.001257
24,12,0.36424,0.006257
25,12,0.68389,0.015500
26,12,0.79808,0.024743
27,12,0.63557,0.029743
28,12,0.68513,0.028206
29,12,0.44603,0.020838
30,12,0.80916,0.011019
31,12,0.58800,0.003257
32,12,0.53422,0.001114
33,12,0.66940,0.005574
