epoch,batch,loss,lr
1,2,0.79798,0.029965
2,2,0.82471,0.029859
3,2,0.86719,0.029683
4,2,0.92390,0.029438
5,2,0.98942,0.029126
6,2,1.05558,0.028746
7,2,1.11361,0.028303
8,2,1.15648,0.027797
9,2,1.18028,0.027231
10,2,1.18472,0.026608
11,2,1.17255,0.025930
12,2,1.14842,0.025202
13,2,1.11757,0.024427
14,2,1.08481,0.023608
15,2,1.05383,0.022750
16,2,1.02701,0.021856
17,2,1.00555,0.020932
18,2,0.98976,0.019981
19,2,0.97935,0.019008
20,2,0.97375,0.018018
21,2,0.97225,0.017016
22,2,0.97412,0.016006
23,2,0.97864,0.014994
24,2,0.98514,0.013984
25,2,0.99299,0.012982
26,2,1.00162,0.011992
27,2,1.01052,0.011019
28,2,1.01927,0.010068
29,2,1.02755,0.009144
30,2,1.03511,0.008250
31,2,1.04181,0.007392
32,2,1.04759,0.006573
33,2,1.05245,0.005798
34,2,1.05644,0.005070
35,2,1.05963,0.004392
36,2,1.06213,0.003769
37,2,1.06404,0.003203
38,2,1.06548,0.002697
39,2,1.06654,0.002254
40,2,1.06730,0.001874
41,2,1.06784,0.001562
42,2,1.06822,0.001317
43,2,1.06848,0.001141
44,2,1.06866,0.001035
45,2,1.06879,0.001000
46,2,1.06889,0.001035
47,2,1.06896,0.001141
48,2,1.06901,0.001317
49,2,1.06903,0.001562
50,2,1.06903,0.001874
51,2,1.06900,0.002254
52,2,1.06893,0.002697
53,2,1.06881,0.003203
54,2,1.06864,0.003769
55,2,1.06841,0.004392
56,2,1.06813,0.005070
57,2,1.06779,0.005798
58,2,1.06741,0.006573
59,2,1.06701,0.007392
60,2,1.06661,0.008250
61,2,1.06625,0.009144
62,2,1.06597,0.010068
63,2,1.06582,0.011019
64,2,1.06585,0.011992
65,2,1.06611,0.012982
66,2,1.06665,0.013984
67,2,1.06754,0.014994
68,2,1.06881,0.016006
69,2,1.07048,0.017016
70,2,1.07258,0.018018
71,2,1.07510,0.019008
72,2,1.07801,0.019981
73,2,1.08128,0.020932
74,2,1.08484,0.021856
75,2,1.08861,0.022750
76,2,1.09250,0.023608
77,2,1.09641,0.024427
78,2,1.10027,0.025202
79,2,1.10398,0.025930
80,2,1.10748,0.026608
81,2,1.11075,0.027231
82,2,1.11378,0.027797
83,2,1.11658,0.028303
84,2,1.11921,0.028746
85,2,1.12174,0.029126
86,2,1.12424,0.029438
87,2,1.12680,0.029683
88,2,1.12949,0.029859
89,2,1.13236,0.029965
90,2,1.13547,0.030000
91,2,1.13882,0.029965
92,2,1.14240,0.029859
93,2,1.14619,0.029683
94,2,1.15013,0.029438
95,2,1.15417,0.029126
96,2,1.15822,0.028746
97,2,1.16223,0.028303
98,2,1.16614,0.027797
99,2,1.16989,0.027231
100,2,1.17345,0.026608
101,2,1.17680,0.025930
102,2,1.17992,0.025202
103,2,1.18284,0.024427
104,2,1.18555,0.023608
105,2,1.18808,0.022750
106,2,1.19045,0.021856
107,2,1.19268,0.020932
108,2,1.19478,0.019981
109,2,1.19678,0.019008
110,2,1.19867,0.018018
111,2,1.20047,0.017016
112,2,1.20218,0.016006
113,2,1.20380,0.014994
114,2,1.20532,0.013984
115,2,1.20675,0.012982
116,2,1.20807,0.011992
117,2,1.20929,0.011019
118,2,1.21041,0.010068
119,2,1.21142,0.009144
120,2,1.21234,0.008250
121,2,1.21315,0.007392
122,2,1.21388,0.006573
123,2,1.21451,0.005798
124,2,1.21506,0.005070
125,2,1.21553,0.004392
126,2,1.21594,0.003769
127,2,1.21628,0.003203
128,2,1.21656,0.002697
129,2,1.21680,0.002254
130,2,1.21700,0.001874
131,2,1.21716,0.001562
132,2,1.21729,0.001317
133,2,1.21740,0.001141
134,2,1.21749,0.001035
135,2,1.21757,0.001000
136,2,1.21765,0.001035
137,2,1.21774,0.001141
138,2,1.21783,0.001317
139,2,1.21793,0.001562
140,2,1.21805,0.001874
141,2,1.21820,0.002254
142,2,1.21837,0.002697
143,2,1.21858,0.003203
144,2,1.21882,0.003769
145,2,1.21911,0.004392
146,2,1.21944,0.005070
147,2,1.21982,0.005798
148,2,1.22025,0.006573
149,2,1.22075,0.007392
150,2,1.22130,0.008250
151,2,1.22191,0.009144
152,2,1.22259,0.010068
153,2,1.22334,0.011019
154,2,1.22416,0.011992
155,2,1.22505,0.012982
156,2,1.22601,0.013984
157,2,1.22704,0.014994
158,2,1.22815,0.016006
159,2,1.22934,0.017016
160,2,1.23060,0.018018
161,2,1.23193,0.019008
162,2,1.23334,0.019981
163,2,1.23481,0.020932
164,2,1.23635,0.021856
165,2,1.23795,0.022750
166,2,1.23962,0.023608
167,2,1.24133,0.024427
168,2,1.24310,0.025202
169,2,1.24491,0.025930
170,2,1.24675,0.026608
171,2,1.24863,0.027231
172,2,1.25052,0.027797
173,2,1.25244,0.028303
174,2,1.25436,0.028746
175,2,1.25628,0.029126
176,2,1.25820,0.029438
177,2,1.26010,0.029683
178,2,1.26198,0.029859
179,2,1.26384,0.029965
180,2,1.26566,0.030000
181,2,1.26744,0.029965
182,2,1.26917,0.029859
183,2,1.27084,0.029683
184,2,1.27246,0.029438
185,2,1.27401,0.029126
186,2,1.27549,0.028746
187,2,1.27689,0.028303
188,2,1.27822,0.027797
189,2,1.27947,0.027231
190,2,1.28064,0.026608
191,2,1.28174,0.025930
192,2,1.28275,0.025202
193,2,1.28368,0.024427
194,2,1.28454,0.023608
195,2,1.28532,0.022750
196,2,1.28603,0.021856
197,2,1.28667,0.020932
198,2,1.28724,0.019981
199,2,1.28776,0.019008
200,2,1.28821,0.018018
1,3,1.27143,0.029859
2,3,1.42985,0.029438
3,3,1.78431,0.028746
4,3,1.87618,0.027797
5,3,1.72287,0.026608
6,3,1.60576,0.025202
7,3,1.54933,0.023608
8,3,1.53783,0.021856
9,3,1.52666,0.019981
10,3,1.43284,0.018018
11,3,1.34801,0.016006
12,3,1.34008,0.013984
13,3,1.30883,0.011992
14,3,1.27245,0.010068
15,3,1.24801,0.008250
16,3,1.22474,0.006573
17,3,1.21535,0.005070
18,3,1.21227,0.003769
19,3,1.21238,0.002697
20,3,1.21348,0.001874
21,3,1.21457,0.001317
22,3,1.21599,0.001035
23,3,1.21820,0.001035
24,3,1.22153,0.001317
25,3,1.22745,0.001874
26,3,1.23959,0.002697
27,3,1.26475,0.003769
28,3,1.31427,0.005070
29,3,1.41159,0.006573
30,3,1.53490,0.008250
31,3,1.58706,0.010068
32,3,1.54799,0.011992
33,3,1.49846,0.013984
34,3,1.49887,0.016006
35,3,1.47040,0.018018
36,3,1.42438,0.019981
37,3,1.44283,0.021856
38,3,1.53157,0.023608
39,3,1.62459,0.025202
40,3,1.70951,0.026608
41,3,1.86231,0.027797
42,3,1.97814,0.028746
43,3,1.94247,0.029438
44,3,1.56817,0.029859
45,3,1.19517,0.030000
46,3,1.28461,0.029859
47,3,1.46543,0.029438
48,3,1.45003,0.028746
49,3,1.25702,0.027797
50,3,1.30183,0.026608
51,3,1.75949,0.025202
52,3,2.19131,0.023608
53,3,2.12850,0.021856
54,3,1.84166,0.019981
55,3,1.53411,0.018018
56,3,1.35753,0.016006
57,3,1.30495,0.013984
58,3,1.29699,0.011992
59,3,1.29792,0.010068
60,3,1.29618,0.008250
61,3,1.29663,0.006573
62,3,1.29843,0.005070
63,3,1.29926,0.003769
64,3,1.29991,0.002697
65,3,1.30007,0.001874
66,3,1.30007,0.001317
67,3,1.30017,0.001035
68,3,1.30042,0.001035
69,3,1.30098,0.001317
70,3,1.30223,0.001874
71,3,1.30549,0.002697
72,3,1.31095,0.003769
73,3,1.31938,0.005070
74,3,1.34043,0.006573
75,3,1.38828,0.008250
76,3,1.47652,0.010068
77,3,1.61677,0.011992
78,3,1.81588,0.013984
79,3,1.98526,0.016006
80,3,2.09989,0.018018
81,3,2.19039,0.019981
82,3,2.20489,0.021856
83,3,2.12648,0.023608
84,3,1.96472,0.025202
85,3,1.82222,0.026608
86,3,1.73760,0.027797
87,3,1.68281,0.028746
88,3,1.67907,0.029438
89,3,1.68185,0.029859
90,3,1.70118,0.030000
91,3,1.75175,0.029859
92,3,1.68346,0.029438
93,3,1.59626,0.028746
94,3,1.64540,0.027797
95,3,1.77161,0.026608
96,3,1.94188,0.025202
97,3,2.05484,0.023608
98,3,1.97458,0.021856
99,3,1.77909,0.019981
100,3,1.65365,0.018018
