epoch,batch,loss,lr
1,19,1.07689,0.000815
2,19,1.07827,0.000411
3,19,1.07631,0.000122
4,19,1.07567,0.000186
5,19,1.07361,0.000550
6,19,1.07833,0.000914
7,19,1.06335,0.000978
8,19,1.06918,0.000689
9,19,1.06989,0.000285
10,19,1.06700,0.000100
11,19,1.06183,0.000285
12,19,1.05972,0.000689
13,19,1.05173,0.000978
14,19,1.05492,0.000914
15,19,1.05496,0.000550
16,19,1.06191,0.000186
17,19,1.05986,0.000122
18,19,1.04973,0.000411
19,19,1.05557,0.000815
20,19,1.04367,0.001000
21,19,1.06896,0.000815
22,19,1.04400,0.000411
23,19,1.03420,0.000122
24,19,1.04160,0.000186
25,19,1.05004,0.000550
26,19,1.03975,0.000914
27,19,1.06697,0.000978
28,19,1.03327,0.000689
29,19,1.04590,0.000285
30,19,1.04505,0.000100
31,19,1.04425,0.000285
32,19,1.03896,0.000689
33,19,1.02861,0.000978
34,19,1.02684,0.000914
35,19,1.03781,0.000550
36,19,1.02522,0.000186
37,19,1.02766,0.000122
38,19,1.03489,0.000411
39,19,1.01322,0.000815
40,19,1.02563,0.001000
41,19,1.02849,0.000815
42,19,1.00859,0.000411
43,19,1.01354,0.000122
44,19,1.01461,0.000186
45,19,1.01571,0.000550
46,19,1.04277,0.000914
47,19,1.00440,0.000978
48,19,1.00855,0.000689
49,19,1.01634,0.000285
50,19,1.01167,0.000100
51,19,1.01176,0.000285
52,19,1.02055,0.000689
53,19,1.00710,0.000978
54,19,0.97397,0.000914
55,19,0.99162,0.000550
56,19,1.01012,0.000186
57,19,1.00792,0.000122
58,19,1.00492,0.000411
59,19,1.05041,0.000815
60,19,1.04131,0.001000
61,19,0.98135,0.000815
62,19,0.98387,0.000411
63,19,1.00426,0.000122
64,19,1.00648,0.000186
65,19,1.00573,0.000550
66,19,0.99363,0.000914
67,19,1.04035,0.000978
68,19,1.01046,0.000689
69,19,1.03504,0.000285
70,19,1.02431,0.000100
71,19,1.01453,0.000285
72,19,1.01675,0.000689
73,19,1.04482,0.000978
74,19,1.02889,0.000914
75,19,1.03969,0.000550
76,19,1.01408,0.000186
77,19,1.02127,0.000122
78,19,1.00960,0.000411
79,19,1.02444,0.000815
80,19,1.02197,0.001000
81,19,0.99892,0.000815
82,19,1.02550,0.000411
83,19,1.00219,0.000122
84,19,1.00829,0.000186
