epoch,batch,loss,acc,lr
1,4,0.66405,87.50,0.049693
2,4,0.63904,87.50,0.048779
3,4,0.61016,87.50,0.047281
4,4,0.57697,87.50,0.045235
5,4,0.54374,87.50,0.042692
6,4,0.51876,87.50,0.039715
7,4,0.50152,87.50,0.036377
8,4,0.49003,87.50,0.032760
9,4,0.48537,87.50,0.028953
10,4,0.48244,87.50,0.025050
11,4,0.48183,87.50,0.021147
12,4,0.48191,87.50,0.017340
13,4,0.48264,87.50,0.013723
14,4,0.48362,87.50,0.010385
15,4,0.48460,87.50,0.007408
16,4,0.48521,87.50,0.004865
17,4,0.48541,87.50,0.002819
18,4,0.48557,87.50,0.001321
19,4,0.48571,87.50,0.000407
20,4,0.48574,87.50,0.000100
21,4,0.48575,87.50,0.000407
22,4,0.48584,87.50,0.001321
23,4,0.48623,87.50,0.002819
24,4,0.48729,87.50,0.004865
25,4,0.48902,87.50,0.007408
26,4,0.49175,87.50,0.010385
27,4,0.49577,87.50,0.013723
28,4,0.49904,87.50,0.017340
29,4,0.50085,87.50,0.021147
30,4,0.50597,87.50,0.025050
31,4,0.50931,87.50,0.028953
32,4,0.50722,87.50,0.032760
33,4,0.50335,87.50,0.036377
34,4,0.50048,87.50,0.039715
35,4,0.50596,87.50,0.042692
36,4,0.51726,87.50,0.045235
37,4,0.52975,87.50,0.047281
38,4,0.55148,87.50,0.048779
39,4,0.58741,81.25,0.049693
40,4,0.60128,87.50,0.050000
41,4,0.57995,87.50,0.049693
42,4,0.53660,87.50,0.048779
43,4,0.49160,87.50,0.047281
44,4,0.48468,87.50,0.045235
45,4,0.50945,81.25,0.042692
46,4,0.57595,81.25,0.039715
47,4,0.58877,75.00,0.036377
48,4,0.57635,81.25,0.032760
49,4,0.56205,75.00,0.028953
50,4,0.54872,75.00,0.025050
51,4,0.53381,75.00,0.021147
52,4,0.50932,81.25,0.017340
53,4,0.51430,81.25,0.013723
54,4,0.50896,81.25,0.010385
55,4,0.51325,81.25,0.007408
56,4,0.52296,81.25,0.004865
57,4,0.52555,81.25,0.002819
58,4,0.52612,81.25,0.001321
59,4,0.52723,81.25,0.000407
60,4,0.52734,81.25,0.000100
61,4,0.52739,81.25,0.000407
62,4,0.52824,81.25,0.001321
63,4,0.52990,81.25,0.002819
64,4,0.52610,81.25,0.004865
65,4,0.51815,87.50,0.007408
66,4,0.51910,87.50,0.010385
67,4,0.53314,81.25,0.013723
68,4,0.56477,75.00,0.017340
69,4,0.57710,75.00,0.021147
70,4,0.54722,81.25,0.025050
71,4,0.50536,87.50,0.028953
72,4,0.49988,87.50,0.032760
73,4,0.50241,87.50,0.036377
74,4,0.50004,87.50,0.039715
75,4,0.54516,75.00,0.042692
76,4,0.56631,68.75,0.045235
77,4,0.48510,93.75,0.047281
78,4,0.46102,87.50,0.048779
79,4,0.48705,87.50,0.049693
80,4,0.45213,87.50,0.050000
81,4,0.45061,87.50,0.049693
82,4,0.47925,87.50,0.048779
83,4,0.47771,87.50,0.047281
84,4,0.44330,87.50,0.045235
85,4,0.43957,87.50,0.042692
86,4,0.45462,93.75,0.039715
87,4,0.44901,93.75,0.036377
88,4,0.45582,87.50,0.032760
89,4,0.45537,87.50,0.028953
90,4,0.45252,87.50,0.025050
91,4,0.44088,87.50,0.021147
92,4,0.43647,87.50,0.017340
93,4,0.43378,87.50,0.013723
94,4,0.42986,87.50,0.010385
95,4,0.42578,87.50,0.007408
96,4,0.42505,87.50,0.004865
97,4,0.42539,93.75,0.002819
98,4,0.42552,93.75,0.001321
99,4,0.42574,93.75,0.000407
100,4,0.42580,93.75,0.000100
101,4,0.42586,93.75,0.000407
102,4,0.42603,93.75,0.001321
103,4,0.42642,93.75,0.002819
104,4,0.42667,93.75,0.004865
105,4,0.42757,93.75,0.007408
106,4,0.42884,93.75,0.010385
107,4,0.42986,93.75,0.013723
108,4,0.42708,87.50,0.017340
109,4,0.43061,87.50,0.021147
110,4,0.43527,87.50,0.025050
111,4,0.45075,87.50,0.028953
112,4,0.46731,81.25,0.032760
113,4,0.45048,87.50,0.036377
114,4,0.43998,87.50,0.039715
115,4,0.43743,87.50,0.042692
116,4,0.43694,87.50,0.045235
117,4,0.43755,87.50,0.047281
118,4,0.49032,81.25,0.048779
119,4,0.42619,93.75,0.049693
120,4,0.42113,87.50,0.050000
121,4,0.41686,87.50,0.049693
122,4,0.40362,93.75,0.048779
123,4,0.40292,93.75,0.047281
124,4,0.40211,93.75,0.045235
125,4,0.40794,87.50,0.042692
126,4,0.41474,87.50,0.039715
127,4,0.41893,87.50,0.036377
128,4,0.42227,87.50,0.032760
129,4,0.42781,87.50,0.028953
