epoch,batch,loss,lr
1,13,0.80611,0.026070
2,13,0.90144,0.016410
3,13,0.72390,0.006257
4,13,0.78084,0.001114
5,13,0.76191,0.003769
6,13,0.74177,0.012783
7,13,0.84695,0.023269
8,13,0.92325,0.029544
9,13,0.78144,0.028206
10,13,0.85654,0.019981
11,13,0.81528,0.009326
12,13,0.94792,0.002018
13,13,0.91279,0.002018
14,13,0.82868,0.009326
15,13,1.02363,0.019981
16,13,0.73240,0.028206
17,13,0.74093,0.029544
18,13,0.78874,0.023269
19,13,0.81915,0.012783
20,13,0.83636,0.003769
21,13,0.83589,0.001114
22,13,0.81218,0.006257
23,13,0.78880,0.016410
24,13,0.84332,0.026070
25,13,0.76366,0.030000
26,13,0.79439,0.026070
27,13,0.97088,0.016410
28,13,0.93282,0.006257
29,13,0.85863,0.001114
30,13,0.85388,0.003769
31,13,0.83616,0.012783
32,13,0.76855,0.023269
33,13,0.83211,0.029544
34,13,0.71581,0.028206
35,13,0.81816,0.019981
36,13,0.90767,0.009326
37,13,0.77483,0.002018
38,13,0.76950,0.002018
39,13,0.78461,0.009326
40,13,0.70872,0.019981
41,13,0.65997,0.028206
42,13,0.81962,0.029544
43,13,0.74690,0.023269
44,13,0.71231,0.012783
45,13,0.72337,0.003769
46,13,0.73433,0.001114
47,13,0.73375,0.006257
48,13,0.74093,0.016410
49,13,0.73926,0.026070
50,13,0.74768,0.030000
51,13,0.73298,0.026070
52,13,0.75931,0.016410
53,13,0.72230,0.006257
54,13,0.71369,0.001114
55,13,0.71146,0.003769
56,13,0.71179,0.012783
57,13,0.68116,0.023269
58,13,0.76033,0.029544
59,13,0.78747,0.028206
60,13,0.75351,0.019981
61,13,0.71782,0.009326
62,13,0.74050,0.002018
63,13,0.74696,0.002018
64,13,0.74624,0.009326
65,13,0.73990,0.019981
66,13,0.70482,0.028206
67,13,0.78920,0.029544
68,13,0.71154,0.023269
69,13,0.72951,0.012783
70,13,0.72008,0.003769
71,13,0.70849,0.001114
72,13,0.69630,0.006257
73,13,0.69301,0.016410
74,13,0.71042,0.026070
75,13,0.77083,0.030000
76,13,0.86098,0.026070
77,13,0.76651,0.016410
78,13,0.80824,0.006257
79,13,0.79665,0.001114
80,13,0.81029,0.003769
81,13,0.80598,0.012783
82,13,0.87692,0.023269
83,13,0.79127,0.029544
84,13,0.72375,0.028206
85,13,0.72597,0.019981
86,13,0.72299,0.009326
87,13,0.73626,0.002018
88,13,0.74165,0.002018
89,13,0.75171,0.009326
90,13,0.75608,0.019981
91,13,0.73219,0.028206
92,13,0.73078,0.029544
93,13,0.77324,0.023269
94,13,0.72575,0.012783
95,13,0.77112,0.003769
96,13,0.75663,0.001114
97,13,0.71890,0.006257
98,13,0.77352,0.016410
99,13,0.72409,0.026070
100,13,0.76047,0.030000
101,13,0.69198,0.026070
102,13,0.79052,0.016410
103,13,0.79831,0.006257
104,13,0.77602,0.001114
105,13,0.77276,0.003769
106,13,0.75254,0.012783
107,13,0.79330,0.023269
108,13,0.75822,0.029544
109,13,0.88856,0.028206
110,13,0.75672,0.019981
111,13,0.80931,0.009326
112,13,0.83388,0.002018
113,13,0.83259,0.002018
114,13,0.78720,0.009326
115,13,0.79223,0.019981
116,13,0.90876,0.028206
117,13,1.09132,0.029544
118,13,0.87157,0.023269
119,13,0.83284,0.012783
120,13,0.85016,0.003769
121,13,0.85022,0.001114
122,13,0.85855,0.006257
123,13,0.82828,0.016410
124,13,0.82202,0.026070
125,13,0.87801,0.030000
126,13,0.88712,0.026070
127,13,0.82925,0.016410
128,13,0.80282,0.006257
129,13,0.78056,0.001114
130,13,0.80832,0.003769
131,13,0.87156,0.012783
132,13,0.99189,0.023269
133,13,1.00993,0.029544
134,13,0.99942,0.028206
135,13,1.04673,0.019981
136,13,1.17955,0.009326
137,13,1.11538,0.002018
138,13,1.10806,0.002018
139,13,1.15600,0.009326
140,13,1.16036,0.019981
141,13,1.24039,0.028206
142,13,0.88052,0.029544
143,13,0.78194,0.023269
144,13,0.73740,0.012783
145,13,0.79974,0.003769
146,13,0.83063,0.001114
147,13,0.91208,0.006257
148,13,0.98574,0.016410
149,13,0.97379,0.026070
150,13,1.16915,0.030000
151,13,1.14134,0.026070
152,13,0.91847,0.016410
153,13,1.00354,0.006257
154,13,1.02544,0.001114
155,13,1.02142,0.003769
156,13,1.18151,0.012783
157,13,1.31224,0.023269
158,13,1.06306,0.029544
159,13,0.89863,0.028206
160,13,0.95115,0.019981
161,13,1.46362,0.009326
162,13,1.28711,0.002018
163,13,1.34405,0.002018
164,13,1.39385,0.009326
165,13,1.47121,0.019981
166,13,1.78348,0.028206
167,13,1.20956,0.029544
168,13,1.12307,0.023269
169,13,1.21524,0.012783
170,13,1.28155,0.003769
171,13,1.32872,0.001114
172,13,1.50749,0.006257
173,13,1.74442,0.016410
174,13,2.00691,0.026070
175,13,1.30881,0.030000
176,13,1.63128,0.026070
177,13,1.61031,0.016410
178,13,1.85925,0.006257
179,13,1.92257,0.001114
180,13,1.90878,0.003769
181,13,2.33851,0.012783
182,13,2.45522,0.023269
183,13,2.01497,0.029544
184,13,1.95910,0.028206
185,13,2.00092,0.019981
186,13,2.07334,0.009326
187,13,2.01898,0.002018
188,13,2.06873,0.002018
189,13,2.31359,0.009326
190,13,2.43269,0.019981
191,13,2.16585,0.028206
192,13,1.72781,0.029544
193,13,1.00731,0.023269
194,13,1.39753,0.012783
195,13,1.56337,0.003769
196,13,1.63089,0.001114
197,13,1.63766,0.006257
198,13,1.80716,0.016410
199,13,1.83308,0.026070
200,13,1.88088,0.030000
1,13,1.40823,0.026070
2,13,1.25563,0.016410
3,13,1.40118,0.006257
4,13,1.28133,0.001114
5,13,1.33560,0.003769
6,13,1.25386,0.012783
7,13,1.22208,0.023269
8,13,1.19383,0.029544
9,13,1.47573,0.028206
10,13,1.32996,0.019981
11,13,1.40642,0.009326
12,13,1.35745,0.002018
13,13,1.34487,0.002018
14,13,1.40269,0.009326
15,13,1.48745,0.019981
16,13,1.44440,0.028206
17,13,1.26612,0.029544
18,13,1.51490,0.023269
19,13,1.39888,0.012783
20,13,1.47275,0.003769
21,13,1.45585,0.001114
22,13,1.42277,0.006257
23,13,1.48191,0.016410
24,13,1.36929,0.026070
25,13,1.28417,0.030000
26,13,1.25342,0.026070
27,13,1.29734,0.016410
28,13,1.30468,0.006257
29,13,1.34934,0.001114
30,13,1.45091,0.003769
31,13,1.52013,0.012783
32,13,1.42572,0.023269
33,13,1.49881,0.029544
34,13,1.24057,0.028206
35,13,1.11207,0.019981
36,13,1.35492,0.009326
37,13,1.35925,0.002018
38,13,1.39505,0.002018
39,13,1.38125,0.009326
40,13,1.39158,0.019981
41,13,1.64940,0.028206
42,13,1.78218,0.029544
43,13,1.57694,0.023269
44,13,1.59393,0.012783
45,13,1.55258,0.003769
46,13,1.56615,0.001114
47,13,1.60890,0.006257
48,13,1.59928,0.016410
49,13,1.57450,0.026070
50,13,1.47045,0.030000
51,13,1.48709,0.026070
52,13,1.36013,0.016410
53,13,1.49734,0.006257
54,13,1.51245,0.001114
55,13,1.47484,0.003769
56,13,1.50139,0.012783
57,13,1.66549,0.023269
58,13,1.52892,0.029544
59,13,1.52561,0.028206
60,13,1.38044,0.019981
61,13,1.45001,0.009326
62,13,1.43986,0.002018
63,13,1.43805,0.002018
64,13,1.44200,0.009326
65,13,1.38042,0.019981
66,13,1.55507,0.028206
67,13,1.43190,0.029544
68,13,1.50717,0.023269
69,13,1.40707,0.012783
70,13,1.42652,0.003769
71,13,1.44218,0.001114
72,13,1.40161,0.006257
73,13,1.44656,0.016410
74,13,1.39174,0.026070
75,13,1.29673,0.030000
76,13,1.33369,0.026070
77,13,1.38171,0.016410
78,13,1.31141,0.006257
79,13,1.35707,0.001114
80,13,1.36058,0.003769
81,13,1.39499,0.012783
82,13,1.38541,0.023269
83,13,1.33949,0.029544
84,13,1.42026,0.028206
85,13,1.37371,0.019981
86,13,1.44659,0.009326
87,13,1.43803,0.002018
88,13,1.42930,0.002018
89,13,1.43143,0.009326
90,13,1.45879,0.019981
91,13,1.45185,0.028206
92,13,1.37956,0.029544
93,13,1.38341,0.023269
94,13,1.40268,0.012783
95,13,1.40280,0.003769
96,13,1.42732,0.001114
97,13,1.43564,0.006257
98,13,1.50692,0.016410
99,13,1.44969,0.026070
100,13,1.44773,0.030000
101,13,1.44227,0.026070
102,13,1.38412,0.016410
103,13,1.40994,0.006257
104,13,1.42534,0.001114
105,13,1.42469,0.003769
106,13,1.47239,0.012783
107,13,1.40355,0.023269
108,13,1.34216,0.029544
109,13,1.43574,0.028206
110,13,1.25717,0.019981
111,13,1.31887,0.009326
112,13,1.37244,0.002018
113,13,1.37339,0.002018
114,13,1.37951,0.009326
115,13,1.44856,0.019981
116,13,1.39680,0.028206
117,13,1.45285,0.029544
118,13,1.32063,0.023269
119,13,1.35840,0.012783
120,13,1.39036,0.003769
121,13,1.37949,0.001114
122,13,1.38632,0.006257
123,13,1.39547,0.016410
124,13,1.43892,0.026070
125,13,1.40495,0.030000
126,13,1.29799,0.026070
127,13,1.35591,0.016410
128,13,1.35114,0.006257
129,13,1.35395,0.001114
130,13,1.36912,0.003769
131,13,1.40142,0.012783
132,13,1.41413,0.023269
133,13,1.28423,0.029544
134,13,1.32641,0.028206
135,13,1.37732,0.019981
136,13,1.34477,0.009326
137,13,1.34261,0.002018
138,13,1.35132,0.002018
139,13,1.38939,0.009326
140,13,1.40076,0.019981
141,13,1.33330,0.028206
142,13,1.35452,0.029544
143,13,1.28637,0.023269
144,13,1.35607,0.012783
145,13,1.35747,0.003769
146,13,1.35471,0.001114
147,13,1.35196,0.006257
148,13,1.41266,0.016410
149,13,1.38948,0.026070
150,13,1.35576,0.030000
151,13,1.39263,0.026070
152,13,1.34922,0.016410
153,13,1.33655,0.006257
154,13,1.35444,0.001114
155,13,1.36343,0.003769
156,13,1.40256,0.012783
157,13,1.44188,0.023269
158,13,1.42550,0.029544
159,13,1.38651,0.028206
160,13,1.32036,0.019981
161,13,1.37309,0.009326
162,13,1.39675,0.002018
163,13,1.39643,0.002018
164,13,1.39879,0.009326
165,13,1.38769,0.019981
166,13,1.36974,0.028206
167,13,1.34945,0.029544
168,13,1.41585,0.023269
169,13,1.39284,0.012783
170,13,1.38764,0.003769
171,13,1.40786,0.001114
172,13,1.45346,0.006257
173,13,1.45018,0.016410
174,13,1.34209,0.026070
175,13,1.26098,0.030000
176,13,1.33563,0.026070
177,13,1.35445,0.016410
178,13,1.40076,0.006257
179,13,1.41028,0.001114
180,13,1.41047,0.003769
181,13,1.40117,0.012783
182,13,1.43049,0.023269
183,13,1.40145,0.029544
