epoch,batch,loss,lr
1,12,0.80723,0.026672
2,12,1.42472,0.018217
3,12,1.12484,0.008515
4,12,0.87813,0.002018
5,12,0.68270,0.001710
6,12,0.76330,0.007731
7,12,0.78045,0.017317
8,12,0.70587,0.026070
9,12,0.73630,0.029971
10,12,0.83918,0.027231
11,12,0.84850,0.019106
12,12,0.80991,0.009326
13,12,1.29581,0.002380
14,12,1.05662,0.001456
15,12,1.13677,0.006977
16,12,0.82215,0.016410
17,12,1.06240,0.025426
18,12,0.87984,0.029886
19,12,0.79958,0.027743
20,12,0.75318,0.019981
21,12,0.66159,0.010162
22,12,0.70307,0.002794
23,12,0.64374,0.001257
24,12,0.64226,0.006257
25,12,0.59058,0.015500
26,12,1.15364,0.024743
27,12,0.64829,0.029743
28,12,0.82730,0.028206
29,12,0.78577,0.020838
30,12,0.80210,0.011019
31,12,0.65470,0.003257
32,12,0.72009,0.001114
33,12,0.70210,0.005574
34,12,0.80962,0.014590
35,12,0.60689,0.024023
36,12,0.89932,0.029544
37,12,0.73955,0.028620
38,12,0.71259,0.021674
39,12,0.76660,0.011894
40,12,0.74256,0.003769
41,12,0.82575,0.001029
42,12,0.91155,0.004930
43,12,0.69267,0.013683
44,12,0.81857,0.023269
45,12,0.74683,0.029290
46,12,0.61121,0.028982
47,12,0.62085,0.022485
48,12,0.90244,0.012783
49,12,0.57741,0.004328
50,12,0.71274,0.001000
51,12,0.66520,0.004328
52,12,0.62709,0.012783
53,12,1.00829,0.022485
54,12,0.72977,0.028982
55,12,1.05206,0.029290
56,12,0.88623,0.023269
57,12,0.79044,0.013683
58,12,0.59050,0.004930
59,12,0.86455,0.001029
60,12,0.72580,0.003769
61,12,0.79699,0.011894
62,12,0.86017,0.021674
63,12,0.53485,0.028620
64,12,0.69613,0.029544
65,12,1.03377,0.024023
66,12,0.80493,0.014590
67,12,0.95908,0.005574
68,12,0.86500,0.001114
69,12,0.62197,0.003257
70,12,0.74634,0.011019
71,12,0.57698,0.020838
72,12,0.91471,0.028206
73,12,0.75155,0.029743
74,12,0.76783,0.024743
75,12,0.73148,0.015500
76,12,0.65806,0.006257
77,12,0.76871,0.001257
78,12,0.53222,0.002794
79,12,0.79485,0.010162
80,12,1.41772,0.019981
81,12,0.62900,0.027743
82,12,0.73361,0.029886
83,12,0.85593,0.025426
84,12,0.63455,0.016410
85,12,0.65635,0.006977
86,12,0.55706,0.001456
87,12,0.66849,0.002380
88,12,0.71042,0.009326
89,12,0.87307,0.019106
90,12,1.04994,0.027231
91,12,0.75731,0.029971
92,12,0.75504,0.026070
93,12,0.78820,0.017317
94,12,0.84351,0.007731
95,12,1.01555,0.001710
96,12,0.79623,0.002018
97,12,0.73460,0.008515
98,12,1.14307,0.018217
99,12,1.12790,0.026672
100,12,0.83554,0.030000
101,12,0.61865,0.026672
102,12,0.67548,0.018217
103,12,0.88517,0.008515
104,12,0.97198,0.002018
105,12,1.07582,0.001710
106,12,0.76299,0.007731
107,12,0.83951,0.017317
108,12,1.21958,0.026070
109,12,0.92734,0.029971
110,12,0.66636,0.027231
111,12,1.12710,0.019106
112,12,0.72915,0.009326
113,12,0.79308,0.002380
114,12,0.76940,0.001456
115,12,0.87076,0.006977
116,12,0.82043,0.016410
117,12,0.91251,0.025426
118,12,0.78899,0.029886
119,12,0.68744,0.027743
120,12,0.72376,0.019981
121,12,0.95679,0.010162
122,12,0.72598,0.002794
123,12,0.67634,0.001257
124,12,0.67598,0.006257
125,12,0.93050,0.015500
126,12,0.88938,0.024743
127,12,0.75724,0.029743
128,12,0.86483,0.028206
129,12,0.84429,0.020838
130,12,0.91225,0.011019
131,12,0.82563,0.003257
132,12,0.67186,0.001114
133,12,0.82703,0.005574
134,12,0.78900,0.014590
135,12,0.83757,0.024023
136,12,1.20855,0.029544
137,12,0.96727,0.028620
138,12,0.96321,0.021674
139,12,0.71174,0.011894
140,12,1.09966,0.003769
141,12,0.76470,0.001029
142,12,0.84035,0.004930
143,12,0.87239,0.013683
144,12,0.79151,0.023269
145,12,0.77365,0.029290
146,12,0.88275,0.028982
147,12,1.02949,0.022485
148,12,0.71971,0.012783
149,12,0.65588,0.004328
150,12,0.81445,0.001000
151,12,0.63737,0.004328
152,12,1.06881,0.012783
153,12,0.75342,0.022485
154,12,1.11825,0.028982
155,12,0.61995,0.029290
156,12,0.64540,0.023269
157,12,0.91088,0.013683
158,12,0.77753,0.004930
159,12,1.01468,0.001029
160,12,1.09622,0.003769
161,12,0.80565,0.011894
162,12,1.27251,0.021674
163,12,0.72555,0.028620
164,12,0.72925,0.029544
165,12,0.99018,0.024023
166,12,0.80861,0.014590
167,12,0.84756,0.005574
168,12,0.96988,0.001114
169,12,0.79837,0.003257
170,12,0.93203,0.011019
171,12,0.85915,0.020838
172,12,0.75557,0.028206
173,12,0.93911,0.029743
174,12,0.63278,0.024743
175,12,1.14304,0.015500
176,12,0.96839,0.006257
177,12,1.36684,0.001257
178,12,0.69173,0.002794
179,12,1.00335,0.010162
180,12,1.35710,0.019981
