epoch,batch,loss,lr
1,11,0.81028,0.027231
2,11,1.06559,0.019981
3,11,0.88637,0.011019
4,11,0.99115,0.003769
5,11,0.92687,0.001000
6,11,0.93519,0.003769
7,11,0.90015,0.011019
8,11,0.91889,0.019981
9,11,0.83576,0.027231
10,11,0.85075,0.030000
11,11,0.64771,0.027231
12,11,0.72626,0.019981
13,11,0.71704,0.011019
14,11,0.68891,0.003769
15,11,0.68366,0.001000
16,11,0.68831,0.003769
17,11,0.69193,0.011019
18,11,0.68353,0.019981
19,11,0.73407,0.027231
20,11,0.74805,0.030000
21,11,0.78921,0.027231
22,11,0.74496,0.019981
23,11,0.69236,0.011019
24,11,0.65272,0.003769
25,11,0.65901,0.001000
26,11,0.66432,0.003769
27,11,0.68190,0.011019
28,11,0.67683,0.019981
29,11,0.68505,0.027231
30,11,0.66682,0.030000
31,11,0.87422,0.027231
32,11,0.81595,0.019981
33,11,0.75171,0.011019
34,11,0.77109,0.003769
35,11,0.76609,0.001000
36,11,0.77726,0.003769
37,11,0.79072,0.011019
38,11,0.73160,0.019981
39,11,0.73471,0.027231
40,11,0.66447,0.030000
41,11,0.82821,0.027231
42,11,0.74720,0.019981
43,11,0.70660,0.011019
44,11,0.71431,0.003769
45,11,0.72056,0.001000
46,11,0.71871,0.003769
47,11,0.70426,0.011019
48,11,0.68893,0.019981
49,11,0.73949,0.027231
50,11,0.75739,0.030000
51,11,0.78313,0.027231
52,11,0.78126,0.019981
53,11,0.92270,0.011019
54,11,0.85854,0.003769
55,11,0.86331,0.001000
56,11,0.85791,0.003769
57,11,0.80820,0.011019
58,11,0.78058,0.019981
59,11,0.74268,0.027231
60,11,0.77449,0.030000
61,11,0.82823,0.027231
62,11,1.04582,0.019981
63,11,0.85430,0.011019
64,11,0.80569,0.003769
65,11,0.79881,0.001000
66,11,0.80266,0.003769
67,11,0.81998,0.011019
68,11,0.78048,0.019981
69,11,0.71980,0.027231
70,11,0.76972,0.030000
71,11,0.68821,0.027231
72,11,0.76234,0.019981
73,11,0.74576,0.011019
74,11,0.72018,0.003769
75,11,0.73422,0.001000
76,11,0.73699,0.003769
77,11,0.74331,0.011019
78,11,0.70871,0.019981
79,11,0.70934,0.027231
80,11,0.77311,0.030000
81,11,0.78195,0.027231
82,11,0.98991,0.019981
83,11,0.83662,0.011019
84,11,0.88029,0.003769
85,11,0.85593,0.001000
86,11,0.82919,0.003769
87,11,0.79530,0.011019
88,11,0.78434,0.019981
89,11,0.81049,0.027231
90,11,0.76161,0.030000
91,11,0.80854,0.027231
92,11,0.73538,0.019981
93,11,0.79606,0.011019
94,11,0.84093,0.003769
95,11,0.82533,0.001000
96,11,0.82799,0.003769
97,11,0.81800,0.011019
98,11,0.83565,0.019981
99,11,0.77311,0.027231
100,11,0.88246,0.030000
101,11,0.91147,0.027231
102,11,0.75883,0.019981
103,11,0.81352,0.011019
104,11,0.79722,0.003769
105,11,0.80783,0.001000
106,11,0.80765,0.003769
107,11,0.76670,0.011019
108,11,0.82389,0.019981
109,11,0.81017,0.027231
110,11,0.88698,0.030000
111,11,0.88786,0.027231
112,11,0.79577,0.019981
113,11,0.79757,0.011019
114,11,0.79221,0.003769
115,11,0.81620,0.001000
116,11,0.81375,0.003769
117,11,0.81202,0.011019
118,11,0.76838,0.019981
119,11,0.83097,0.027231
120,11,0.76453,0.030000
121,11,0.83106,0.027231
122,11,0.92896,0.019981
123,11,0.76220,0.011019
124,11,0.89378,0.003769
125,11,0.91105,0.001000
126,11,0.88931,0.003769
127,11,0.89600,0.011019
128,11,0.95015,0.019981
129,11,0.88796,0.027231
130,11,0.77377,0.030000
131,11,0.69073,0.027231
132,11,0.62332,0.019981
133,11,0.83719,0.011019
134,11,0.75075,0.003769
135,11,0.79092,0.001000
136,11,0.81046,0.003769
137,11,0.88024,0.011019
138,11,0.86453,0.019981
139,11,0.89035,0.027231
140,11,0.78700,0.030000
141,11,0.86384,0.027231
142,11,1.00995,0.019981
143,11,0.78810,0.011019
144,11,0.77681,0.003769
145,11,0.80930,0.001000
146,11,0.82447,0.003769
147,11,0.94363,0.011019
148,11,1.05283,0.019981
149,11,0.98050,0.027231
150,11,0.85659,0.030000
151,11,0.94552,0.027231
152,11,0.70763,0.019981
153,11,0.70517,0.011019
154,11,0.72979,0.003769
155,11,0.73531,0.001000
156,11,0.74878,0.003769
157,11,0.79428,0.011019
158,11,0.94231,0.019981
159,11,1.06684,0.027231
160,11,0.79397,0.030000
161,11,0.99464,0.027231
162,11,0.91684,0.019981
163,11,0.80466,0.011019
164,11,0.84888,0.003769
165,11,0.82247,0.001000
166,11,0.80431,0.003769
167,11,0.82316,0.011019
168,11,0.91216,0.019981
169,11,1.16944,0.027231
170,11,0.96189,0.030000
171,11,1.07075,0.027231
172,11,1.18292,0.019981
173,11,1.07122,0.011019
174,11,1.05944,0.003769
175,11,1.06754,0.001000
176,11,1.12708,0.003769
177,11,1.29280,0.011019
178,11,1.07197,0.019981
179,11,1.15624,0.027231
180,11,0.86039,0.030000
181,11,1.07884,0.027231
182,11,1.19605,0.019981
183,11,1.15836,0.011019
184,11,1.37742,0.003769
185,11,1.26787,0.001000
186,11,1.26927,0.003769
187,11,1.41251,0.011019
188,11,1.41344,0.019981
189,11,1.19083,0.027231
190,11,0.84823,0.030000
191,11,0.82925,0.027231
192,11,0.78930,0.019981
193,11,1.22141,0.011019
194,11,1.07972,0.003769
195,11,1.16726,0.001000
196,11,1.15630,0.003769
197,11,1.27133,0.011019
198,11,1.42877,0.019981
199,11,1.65917,0.027231
200,11,1.15143,0.030000
1,11,1.71918,0.027231
2,11,1.91900,0.019981
3,11,1.39757,0.011019
4,11,1.54455,0.003769
5,11,1.52514,0.001000
6,11,1.51442,0.003769
7,11,1.50481,0.011019
8,11,1.58295,0.019981
9,11,1.34166,0.027231
10,11,1.60702,0.030000
11,11,1.62219,0.027231
12,11,1.55433,0.019981
13,11,1.49397,0.011019
14,11,1.53220,0.003769
15,11,1.53326,0.001000
16,11,1.56483,0.003769
17,11,1.52147,0.011019
18,11,1.63049,0.019981
19,11,1.62765,0.027231
20,11,1.81783,0.030000
21,11,1.99853,0.027231
22,11,1.84322,0.019981
23,11,1.84423,0.011019
24,11,1.94326,0.003769
25,11,1.92483,0.001000
26,11,1.88293,0.003769
27,11,1.95163,0.011019
28,11,2.17236,0.019981
29,11,2.19051,0.027231
30,11,2.13894,0.030000
31,11,2.16726,0.027231
32,11,1.72232,0.019981
33,11,1.85682,0.011019
34,11,1.81095,0.003769
35,11,1.78762,0.001000
36,11,1.82751,0.003769
37,11,1.82016,0.011019
38,11,1.92967,0.019981
39,11,2.02831,0.027231
40,11,1.64642,0.030000
41,11,1.81249,0.027231
42,11,1.66982,0.019981
43,11,1.79455,0.011019
44,11,1.77001,0.003769
45,11,1.85281,0.001000
46,11,1.84858,0.003769
47,11,1.91082,0.011019
48,11,2.00382,0.019981
49,11,1.95661,0.027231
50,11,1.90622,0.030000
51,11,2.11256,0.027231
52,11,2.12881,0.019981
53,11,1.71674,0.011019
54,11,1.81544,0.003769
55,11,1.91519,0.001000
56,11,1.92631,0.003769
57,11,1.96952,0.011019
58,11,2.13846,0.019981
59,11,2.02447,0.027231
60,11,2.04299,0.030000
61,11,2.22154,0.027231
62,11,2.28957,0.019981
63,11,2.29444,0.011019
64,11,2.33627,0.003769
65,11,2.35987,0.001000
66,11,2.37608,0.003769
67,11,2.42158,0.011019
68,11,2.60994,0.019981
69,11,2.38382,0.027231
70,11,2.21580,0.030000
71,11,2.34008,0.027231
72,11,1.79960,0.019981
73,11,2.27529,0.011019
74,11,2.18354,0.003769
75,11,2.21533,0.001000
76,11,2.27419,0.003769
77,11,2.32857,0.011019
78,11,2.38616,0.019981
79,11,2.66486,0.027231
80,11,2.35402,0.030000
81,11,2.17265,0.027231
82,11,2.05323,0.019981
83,11,2.12208,0.011019
84,11,2.20200,0.003769
85,11,2.20149,0.001000
86,11,2.22672,0.003769
87,11,2.33604,0.011019
88,11,2.40393,0.019981
89,11,2.43732,0.027231
90,11,2.12930,0.030000
91,11,2.42002,0.027231
92,11,2.45757,0.019981
93,11,2.52123,0.011019
94,11,2.57458,0.003769
